,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
1,2019-20,NBA,26.1,6-6,218.0,1059.0,512070.0,86550.0,188116.0,25862.0,72252.0,37826.0,48943.0,21340.0,73617.0,94957.0,51649.0,16200.0,10378.0,30802.0,44004.0,236788.0,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201,110.6
2,2018-19,NBA,26.3,6-6,219.0,1230.0,594450.0,101062.0,219458.0,27955.0,78742.0,43494.0,56758.0,25454.0,85653.0,111107.0,60483.0,18779.0,12185.0,34644.0,51425.0,273573.0,0.461,0.355,0.766,100.0,0.524,12.4,22.9,0.198,110.4
3,2017-18,NBA,26.4,6-7,220.0,1230.0,593850.0,97435.0,211709.0,25807.0,71340.0,40903.0,53325.0,23891.0,83161.0,107052.0,57163.0,18983.0,11846.0,35092.0,48837.0,261580.0,0.46,0.362,0.767,97.3,0.521,13.0,22.3,0.193,108.6
4,2016-17,NBA,26.6,6-7,221.0,1230.0,594400.0,96061.0,210115.0,23748.0,66422.0,43883.0,56855.0,24937.0,82109.0,107046.0,55660.0,18950.0,11669.0,34320.0,48950.0,259753.0,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8
5,2015-16,NBA,26.7,6-7,222.0,1230.0,594850.0,94065.0,208049.0,20953.0,59241.0,43489.0,57469.0,25624.0,82021.0,107645.0,54832.0,19303.0,12193.0,35384.0,49854.0,252572.0,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4
6,2014-15,NBA,26.7,6-7,223.0,1230.0,595200.0,92287.0,205570.0,19300.0,55137.0,42161.0,56198.0,26781.0,79723.0,106504.0,54202.0,19031.0,11797.0,35312.0,49728.0,246035.0,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6
7,2013-14,NBA,26.5,6-7,223.0,1230.0,595200.0,92779.0,204172.0,19054.0,52974.0,43870.0,58029.0,26846.0,78315.0,105161.0,54131.0,18895.0,11594.0,36034.0,50923.0,248482.0,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6
8,2012-13,NBA,26.7,6-7,223.0,1229.0,594470.0,91282.0,201609.0,17603.0,49067.0,41056.0,54533.0,27456.0,76119.0,103575.0,54415.0,19178.0,12622.0,35767.0,48775.0,241223.0,0.453,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8
9,2011-12,NBA,26.6,6-7,223.0,990.0,479050.0,72218.0,161225.0,12693.0,36395.0,33465.0,44472.0,22512.0,61001.0,83513.0,41533.0,15200.0,10086.0,28860.0,38744.0,190594.0,0.448,0.349,0.752,91.3,0.487,13.8,27.0,0.208,104.6
10,2010-11,NBA,26.6,6-7,223.0,1230.0,595050.0,91624.0,199790.0,15886.0,44313.0,45760.0,59937.0,26844.0,74972.0,101816.0,52887.0,18023.0,11966.0,35065.0,50953.0,244894.0,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
