,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Paul Arizin*,SF,30.0,PHW,70.0,2799.0,21.9,0.519,0.0,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,13.0,0.223,0.0,0.0,0.0,0.0
1,Elgin Baylor*,SF,24.0,MNL,70.0,2855.0,23.6,0.488,0.0,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.8,9.8,0.165,0.0,0.0,0.0,0.0
2,Ernie Beck,SG,27.0,PHW,70.0,1017.0,10.4,0.413,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.1,0.9,0.045,0.0,0.0,0.0,0.0
3,Al Bianchi,PG,26.0,SYR,72.0,1779.0,9.5,0.425,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,1.8,0.048,0.0,0.0,0.0,0.0
4,Jerry Bird,F,23.0,NYK,11.0,45.0,12.9,0.385,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.043,0.0,0.0,0.0,0.0
5,Bucky Bockhorn,SG,25.0,CIN,71.0,2251.0,11.1,0.423,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,1.1,0.023,0.0,0.0,0.0,0.0
6,Carl Braun*,PG,31.0,NYK,72.0,1959.0,15.2,0.483,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.3,4.5,0.111,0.0,0.0,0.0,0.0
7,Pete Brennan,F,22.0,NYK,16.0,136.0,7.2,0.37,0.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1,-0.1,-0.03,0.0,0.0,0.0,0.0
8,Barney Cable,PF,23.0,DET,31.0,271.0,12.3,0.393,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.3,0.1,0.017,0.0,0.0,0.0,0.0
9,Gene Conley,PF,28.0,BOS,50.0,663.0,8.8,0.36,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.4,0.4,0.025,0.0,0.0,0.0,0.0
10,Ed Conlin,SG,25.0,TOT,72.0,1955.0,12.3,0.423,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,0.05,0.0,0.0,0.0,0.0
