,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gary Alcorn,C,23.0,DET,58.0,0.0,11.6,1.6,5.4,0.292,0.0,0.0,0.0,1.6,5.4,0.292,0.292,0.8,1.4,0.571,0.0,0.0,4.8,0.4,0.0,0.0,0.0,2.1,4.0
1,Bob Anderegg,SF,22.0,NYK,33.0,0.0,11.3,1.7,4.3,0.385,0.0,0.0,0.0,1.7,4.3,0.385,0.385,0.7,1.3,0.548,0.0,0.0,2.1,0.9,0.0,0.0,0.0,1.0,4.0
2,Paul Arizin*,SF,31.0,PHW,72.0,0.0,36.4,8.2,19.4,0.424,0.0,0.0,0.0,8.2,19.4,0.424,0.424,5.8,7.3,0.798,0.0,0.0,8.6,2.3,0.0,0.0,0.0,3.7,22.3
3,Dick Barnett,SG,23.0,SYR,57.0,0.0,21.7,5.1,12.3,0.412,0.0,0.0,0.0,5.1,12.3,0.412,0.412,2.2,3.2,0.711,0.0,0.0,2.7,2.8,0.0,0.0,0.0,1.7,12.4
4,Elgin Baylor*,SF,25.0,MNL,70.0,0.0,41.0,10.8,25.4,0.424,0.0,0.0,0.0,10.8,25.4,0.424,0.424,8.1,11.0,0.732,0.0,0.0,16.4,3.5,0.0,0.0,0.0,3.3,29.6
5,Ernie Beck,SG,28.0,PHW,66.0,0.0,12.3,1.7,4.5,0.388,0.0,0.0,0.0,1.7,4.5,0.388,0.388,0.4,0.5,0.844,0.0,0.0,1.9,1.1,0.0,0.0,0.0,1.4,3.9
6,Whitey Bell,PG,27.0,NYK,31.0,0.0,14.5,2.3,6.0,0.378,0.0,0.0,0.0,2.3,6.0,0.378,0.378,0.9,1.4,0.651,0.0,0.0,2.8,1.8,0.0,0.0,0.0,1.9,5.4
7,Al Bianchi,PG,27.0,SYR,69.0,0.0,18.2,3.1,8.3,0.366,0.0,0.0,0.0,3.1,8.3,0.366,0.366,1.6,2.2,0.703,0.0,0.0,2.6,2.4,0.0,0.0,0.0,3.3,7.7
8,Bucky Bockhorn,SG,26.0,CIN,75.0,0.0,28.0,4.3,10.8,0.398,0.0,0.0,0.0,4.3,10.8,0.398,0.398,1.9,2.6,0.747,0.0,0.0,5.1,3.4,0.0,0.0,0.0,3.3,10.5
9,Carl Braun*,PG,32.0,NYK,54.0,0.0,28.0,5.3,12.2,0.432,0.0,0.0,0.0,5.3,12.2,0.432,0.432,2.4,2.9,0.838,0.0,0.0,3.1,5.0,0.0,0.0,0.0,2.4,12.9
10,Barney Cable,SF,24.0,TOT,57.0,0.0,12.5,1.9,5.1,0.376,0.0,0.0,0.0,1.9,5.1,0.376,0.376,0.8,1.2,0.657,0.0,0.0,3.9,0.7,0.0,0.0,0.0,1.6,4.6
11,Barney Cable,F,24.0,DET,7.0,0.0,16.6,3.1,8.6,0.367,0.0,0.0,0.0,3.1,8.6,0.367,0.367,0.6,1.4,0.4,0.0,0.0,6.9,0.9,0.0,0.0,0.0,2.7,6.9
12,Barney Cable,SF,24.0,SYR,50.0,0.0,12.0,1.7,4.6,0.378,0.0,0.0,0.0,1.7,4.6,0.378,0.378,0.8,1.1,0.702,0.0,0.0,3.5,0.7,0.0,0.0,0.0,1.5,4.3
13,Wilt Chamberlain*,C,23.0,PHW,72.0,0.0,46.4,14.8,32.1,0.461,0.0,0.0,0.0,14.8,32.1,0.461,0.461,8.0,13.8,0.582,0.0,0.0,27.0,2.3,0.0,0.0,0.0,2.1,37.6
