,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,34.0,LAL,76.0,76.0,2677.0,10.1,17.5,0.579,0.0,0.0,0.0,10.1,17.5,0.58,4.2,5.9,0.706,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4
1,Alvan Adams,C,27.0,PHO,79.0,75.0,2393.0,7.6,15.5,0.494,0.0,0.0,0.0,7.6,15.4,0.494,2.7,3.5,0.781,2.1,6.7,8.8,5.4,1.7,1.2,2.9,4.0,18.0
2,Mark Aguirre,SF,22.0,DAL,51.0,20.0,1468.0,9.3,20.1,0.465,0.6,1.7,0.352,8.7,18.4,0.475,4.1,6.1,0.68,2.2,3.9,6.1,4.0,0.9,0.5,3.3,3.7,23.4
3,Danny Ainge,SG,22.0,BOS,53.0,1.0,564.0,5.0,14.1,0.357,0.3,1.1,0.294,4.7,13.0,0.363,3.6,4.1,0.862,1.6,2.0,3.6,5.6,2.4,0.2,3.4,5.5,14.0
4,Tiny Archibald*,PG,33.0,BOS,68.0,51.0,2167.0,5.1,10.8,0.472,0.1,0.3,0.375,5.0,10.6,0.475,3.9,5.2,0.747,0.4,1.5,1.9,9.0,0.9,0.0,3.0,2.2,14.3
5,Dennis Awtrey,C,33.0,POR,10.0,3.0,121.0,1.5,4.5,0.333,0.0,0.0,0.0,1.5,4.5,0.333,1.5,2.7,0.556,2.1,2.1,4.2,2.4,0.3,0.6,1.8,8.3,4.5
6,Carl Bailey,C,23.0,POR,1.0,0.0,7.0,5.1,5.1,1.0,0.0,0.0,0.0,5.1,5.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,10.3
7,James Bailey,PF,24.0,TOT,77.0,0.0,1468.0,6.4,12.4,0.517,0.0,0.0,0.0,6.4,12.4,0.517,3.4,5.5,0.612,3.1,6.5,9.6,1.6,1.0,2.0,3.4,6.6,16.2
8,James Bailey,PF,24.0,SEA,10.0,0.0,180.0,6.2,13.0,0.477,0.0,0.0,0.0,6.2,13.0,0.477,0.8,2.2,0.364,3.4,6.2,9.6,2.6,0.6,1.4,3.8,8.4,13.2
9,James Bailey,PF,24.0,NJN,67.0,0.0,1288.0,6.4,12.3,0.523,0.0,0.0,0.0,6.4,12.3,0.523,3.7,6.0,0.624,3.1,6.5,9.6,1.5,1.1,2.1,3.4,6.4,16.6
10,Greg Ballard,SF,27.0,WSB,79.0,79.0,2946.0,7.6,16.0,0.475,0.1,0.3,0.409,7.5,15.7,0.476,2.9,3.5,0.83,1.7,6.1,7.7,3.1,1.7,0.3,1.5,2.5,18.2
11,Gene Banks,SF,22.0,SAS,80.0,4.0,1700.0,6.6,13.8,0.477,0.0,0.2,0.0,6.6,13.6,0.483,3.1,4.5,0.684,3.3,5.4,8.7,3.1,1.2,0.4,2.2,4.2,16.2
12,Mike Bantom,SF,30.0,TOT,82.0,38.0,2016.0,6.0,12.7,0.469,0.0,0.1,0.333,5.9,12.6,0.47,3.0,4.8,0.629,3.1,4.7,7.9,2.0,1.1,1.1,2.7,4.9,15.0
13,Mike Bantom,SF,30.0,IND,39.0,37.0,1037.0,6.2,14.1,0.438,0.0,0.1,0.333,6.1,14.0,0.439,3.5,5.3,0.66,3.0,4.4,7.4,2.4,1.3,0.8,3.0,4.8,15.9
14,Mike Bantom,SF,30.0,PHI,43.0,1.0,979.0,5.7,11.3,0.51,0.0,0.1,0.333,5.7,11.1,0.512,2.5,4.2,0.588,3.2,5.1,8.3,1.7,0.9,1.4,2.4,4.9,14.0
15,Billy Ray Bates,SG,25.0,POR,75.0,0.0,1229.0,9.6,20.3,0.473,0.4,1.2,0.293,9.2,19.1,0.484,4.9,6.2,0.787,1.6,1.6,3.2,3.3,1.2,0.1,2.7,2.9,24.4
16,Mel Bennett,PF,27.0,CLE,3.0,0.0,23.0,3.1,6.3,0.5,0.0,0.0,0.0,3.1,6.3,0.5,1.6,9.4,0.167,1.6,3.1,4.7,0.0,1.6,0.0,6.3,3.1,7.8
17,Kent Benson,C,27.0,DET,75.0,72.0,2467.0,5.9,11.7,0.505,0.0,0.2,0.273,5.9,11.5,0.508,1.9,2.3,0.804,3.2,6.3,9.5,2.3,1.0,1.4,2.3,3.1,13.7
18,Larry Bird*,PF,25.0,BOS,77.0,58.0,2923.0,8.8,17.4,0.503,0.1,0.6,0.212,8.6,16.8,0.514,4.0,4.7,0.863,2.5,7.8,10.3,5.5,1.8,0.8,3.1,3.0,21.7
19,Otis Birdsong,SG,26.0,NJN,37.0,22.0,1025.0,7.9,16.9,0.469,0.0,0.4,0.0,7.9,16.5,0.479,2.6,4.5,0.583,1.1,2.4,3.4,4.4,1.1,0.2,2.2,2.6,18.4
20,Rolando Blackman,SG,22.0,DAL,82.0,16.0,1979.0,8.0,15.6,0.513,0.0,0.1,0.25,8.0,15.5,0.515,3.9,5.0,0.768,1.8,2.9,4.6,1.9,0.8,0.5,2.1,2.2,19.8
21,Ray Blume,SG,23.0,CHI,49.0,2.0,546.0,6.7,14.6,0.459,0.3,1.2,0.222,6.5,13.5,0.48,1.2,1.8,0.643,0.9,1.8,2.7,4.5,1.5,0.1,3.6,3.8,14.9
22,Alex Bradley,SF,22.0,NYK,39.0,0.0,331.0,5.9,11.2,0.524,0.0,0.1,0.0,5.9,11.1,0.529,3.2,5.2,0.604,3.4,3.7,7.1,1.2,1.3,0.5,3.0,4.0,14.9
23,Charles Bradley,SG,22.0,BOS,51.0,1.0,339.0,5.8,13.0,0.451,0.0,0.1,0.0,5.8,12.8,0.455,4.5,6.6,0.677,1.3,2.8,4.0,2.3,1.5,0.6,3.9,6.5,16.1
25,Dudley Bradley,SG,24.0,PHO,64.0,3.0,937.0,4.8,10.8,0.445,0.0,0.2,0.25,4.8,10.6,0.448,2.8,3.8,0.74,1.2,2.2,3.3,3.1,3.0,0.4,2.7,4.4,12.5
26,Brad Branson,PF,23.0,CLE,10.0,3.0,176.0,4.3,10.6,0.404,0.0,0.0,0.0,4.3,10.6,0.404,2.3,2.5,0.917,2.9,3.9,6.8,1.2,1.0,0.8,2.7,3.5,10.8
27,Mike Bratz,PG,26.0,SAS,81.0,3.0,1616.0,5.1,12.6,0.407,1.0,3.1,0.333,4.1,9.5,0.431,2.7,3.4,0.783,0.9,2.8,3.7,9.8,1.4,0.2,3.1,4.1,13.9
