,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Kareem Abdul-Jabbar*,C,39.0,LAL,78.0,78.0,2441.0,10.8,19.2,0.564,0.0,0.1,0.333,10.8,19.2,0.565,4.7,6.6,0.714,2.9,7.2,10.1,3.9,0.9,1.9,3.6,4.7,26.4,0.0,114.0,107.0
1,Alvan Adams,C,32.0,PHO,68.0,40.0,1690.0,8.7,17.2,0.503,0.0,0.0,0.0,8.7,17.2,0.504,3.7,4.7,0.788,2.5,6.9,9.4,6.2,1.7,1.0,3.9,5.8,21.1,0.0,106.0,109.0
2,Michael Adams,PG,24.0,WSB,63.0,0.0,1303.0,5.9,14.5,0.407,1.0,3.8,0.275,4.9,10.7,0.454,3.9,4.6,0.847,1.4,3.1,4.5,9.0,3.1,0.2,3.0,3.2,16.7,0.0,109.0,108.0
3,Rafael Addison,SF,22.0,PHO,62.0,12.0,711.0,9.7,21.9,0.441,1.1,3.3,0.32,8.6,18.6,0.463,3.4,4.2,0.797,2.7,4.3,7.0,3.0,1.8,0.5,3.6,5.0,23.8,0.0,98.0,111.0
4,Mark Aguirre,SF,27.0,DAL,80.0,80.0,2663.0,14.1,28.5,0.495,1.0,2.7,0.353,13.2,25.8,0.51,7.7,10.0,0.77,3.2,4.4,7.7,4.6,1.5,0.5,3.9,4.4,36.9,0.0,114.0,111.0
5,Danny Ainge,SG,27.0,BOS,71.0,66.0,2499.0,8.0,16.4,0.486,1.7,3.7,0.443,6.3,12.7,0.498,2.9,3.2,0.897,1.0,3.8,4.7,7.8,2.0,0.3,2.7,3.7,20.5,0.0,115.0,109.0
6,Mark Alarie,PF,23.0,DEN,64.0,25.0,1110.0,8.8,18.0,0.49,0.1,0.4,0.222,8.8,17.7,0.495,2.7,4.1,0.663,3.0,5.7,8.7,3.0,0.9,1.1,2.3,5.6,20.5,0.0,106.0,111.0
7,Richard Anderson,PF,26.0,HOU,51.0,0.0,312.0,9.1,21.4,0.424,0.6,2.5,0.25,8.5,18.9,0.447,3.4,4.5,0.759,3.7,8.5,12.2,5.1,1.1,0.5,2.9,5.7,22.2,0.0,102.0,106.0
8,Ron Anderson,SF,28.0,IND,63.0,0.0,721.0,9.4,19.8,0.473,0.0,0.3,0.0,9.4,19.5,0.481,5.7,7.3,0.787,4.9,5.3,10.2,3.6,2.1,0.2,3.7,4.4,24.5,0.0,106.0,107.0
9,John Bagley,PG,26.0,CLE,72.0,67.0,2182.0,6.8,15.9,0.426,0.7,2.2,0.301,6.1,13.7,0.447,2.5,3.0,0.831,1.2,4.3,5.5,8.2,2.0,0.2,3.5,2.5,16.7,0.0,101.0,108.0
