,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,NOH,Anthony Davis,Kentucky,8.0,512.0,17703.0,12284.0,5331.0,1133.0,0.517,0.315,0.801,34.6,24.0,10.4,2.2,80.8,0.219,5.0,31.2
2,2.0,CHA,Michael Kidd-Gilchrist,Kentucky,8.0,433.0,10857.0,3738.0,2388.0,511.0,0.475,0.28,0.715,25.1,8.6,5.5,1.2,21.1,0.093,-1.2,2.2
3,3.0,WAS,Bradley Beal,Florida,8.0,534.0,18414.0,11024.0,2130.0,2109.0,0.452,0.377,0.805,34.5,20.6,4.0,3.9,40.4,0.105,1.1,14.2
4,4.0,CLE,Dion Waiters,Syracuse,8.0,412.0,11670.0,5422.0,1095.0,1146.0,0.412,0.348,0.692,28.3,13.2,2.7,2.8,8.7,0.036,-2.5,-1.6
5,5.0,SAC,Thomas Robinson,Kansas,5.0,313.0,4204.0,1528.0,1507.0,190.0,0.47,0.0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.2,-1.3
6,6.0,POR,Damian Lillard,Weber State,8.0,603.0,21903.0,14503.0,2524.0,3908.0,0.436,0.371,0.889,36.3,24.1,4.2,6.5,79.6,0.174,4.2,34.3
7,7.0,GSW,Harrison Barnes,UNC,8.0,594.0,18462.0,8105.0,2909.0,950.0,0.446,0.373,0.796,31.1,13.6,4.9,1.6,33.0,0.086,-1.4,2.9
8,8.0,TOR,Terrence Ross,Washington,8.0,545.0,13361.0,5871.0,1527.0,593.0,0.419,0.367,0.823,24.5,10.8,2.8,1.1,20.8,0.075,-1.0,3.4
9,9.0,DET,Andre Drummond,UConn,8.0,593.0,18416.0,8564.0,8228.0,768.0,0.541,0.14,0.46,31.1,14.4,13.9,1.3,60.6,0.158,1.9,18.1
10,10.0,NOH,Austin Rivers,Duke,8.0,534.0,13104.0,4881.0,1110.0,1231.0,0.417,0.346,0.641,24.5,9.1,2.1,2.3,10.7,0.039,-2.8,-2.6
11,11.0,POR,Meyers Leonard,Illinois,8.0,442.0,7082.0,2483.0,1718.0,391.0,0.483,0.392,0.813,16.0,5.6,3.9,0.9,15.7,0.106,-1.4,1.1
12,12.0,HOU,Jeremy Lamb,UConn,8.0,479.0,10166.0,5021.0,1783.0,766.0,0.445,0.34,0.852,21.2,10.5,3.7,1.6,23.4,0.111,-0.4,4.1
13,13.0,PHO,Kendall Marshall,UNC,4.0,160.0,3083.0,802.0,253.0,779.0,0.399,0.37,0.611,19.3,5.0,1.6,4.9,1.0,0.015,-5.6,-2.8
14,14.0,MIL,John Henson,UNC,8.0,437.0,8605.0,3326.0,2333.0,486.0,0.539,0.24,0.57,19.7,7.6,5.3,1.1,20.4,0.114,0.6,5.6
15,15.0,PHI,Maurice Harkless,St. John's,8.0,526.0,12123.0,3770.0,1962.0,487.0,0.478,0.325,0.612,23.0,7.2,3.7,0.9,21.4,0.085,0.3,7.1
16,16.0,HOU,Royce White,Iowa State,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.121,-10.4,0.0
17,17.0,DAL,Tyler Zeller,UNC,7.0,412.0,7250.0,2871.0,1816.0,367.0,0.509,0.286,0.764,17.6,7.0,4.4,0.9,17.1,0.113,-1.6,0.8
18,18.0,HOU,Terrence Jones,Kentucky,6.0,234.0,5562.0,2431.0,1334.0,238.0,0.501,0.297,0.621,23.8,10.4,5.7,1.0,14.7,0.127,0.1,3.0
19,19.0,ORL,Andrew Nicholson,St. Bonaventure,5.0,285.0,4080.0,1700.0,857.0,126.0,0.467,0.321,0.773,14.3,6.0,3.0,0.4,3.8,0.045,-5.3,-3.4
20,20.0,DEN,Evan Fournier,,8.0,511.0,14495.0,7165.0,1406.0,1322.0,0.448,0.376,0.808,28.4,14.0,2.8,2.6,23.2,0.077,-0.9,4.0
21,21.0,BOS,Jared Sullinger,Ohio State,5.0,269.0,6532.0,2893.0,2006.0,477.0,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1
22,22.0,BOS,Fab Melo,Syracuse,1.0,6.0,36.0,7.0,3.0,0.0,0.5,0.0,0.25,6.0,1.2,0.5,0.0,0.0,0.021,-5.8,0.0
23,23.0,ATL,John Jenkins,Vanderbilt,6.0,171.0,2183.0,855.0,250.0,138.0,0.441,0.367,0.847,12.8,5.0,1.5,0.8,3.0,0.065,-3.8,-1.0
24,24.0,CLE,Jared Cunningham,Oregon State,4.0,84.0,605.0,197.0,56.0,39.0,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6
25,25.0,MEM,Tony Wroten,Washington,4.0,145.0,3076.0,1604.0,363.0,437.0,0.413,0.231,0.647,21.2,11.1,2.5,3.0,-1.3,-0.021,-4.1,-1.6
26,26.0,IND,Miles Plumlee,Duke,7.0,346.0,5658.0,1697.0,1562.0,178.0,0.542,0.0,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5
27,27.0,MIA,Arnett Moultrie,Mississippi State,2.0,59.0,729.0,210.0,180.0,12.0,0.547,0.0,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3.0,-0.2
28,28.0,OKC,Perry Jones,Baylor,3.0,143.0,1675.0,488.0,252.0,54.0,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1
29,29.0,CHI,Marquis Teague,Kentucky,3.0,91.0,909.0,217.0,90.0,134.0,0.343,0.222,0.661,10.0,2.4,1.0,1.5,-0.9,-0.045,-8.0,-1.4
30,30.0,GSW,Festus Ezeli,Vanderbilt,3.0,170.0,2394.0,712.0,725.0,63.0,0.513,0.0,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-1.1,0.6
33,31.0,CHA,Jeffery Taylor,Vanderbilt,3.0,132.0,2566.0,807.0,263.0,107.0,0.409,0.319,0.665,19.4,6.1,2.0,0.8,1.3,0.024,-3.9,-1.2
34,32.0,WAS,Tomáš Satoranský,,4.0,265.0,6101.0,1952.0,796.0,1071.0,0.476,0.378,0.818,23.0,7.4,3.0,4.0,13.8,0.108,-0.3,2.6
35,33.0,CLE,Bernard James,Florida State,3.0,92.0,761.0,203.0,212.0,13.0,0.497,0.0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.1,0.2
36,34.0,CLE,Jae Crowder,Marquette,8.0,591.0,14566.0,5638.0,2420.0,899.0,0.42,0.336,0.78,24.6,9.5,4.1,1.5,31.0,0.102,0.6,9.7
37,35.0,GSW,Draymond Green,Michigan State,8.0,574.0,16173.0,5164.0,3961.0,2844.0,0.435,0.32,0.71,28.2,9.0,6.9,5.0,44.5,0.132,3.4,21.9
38,36.0,SAC,Orlando Johnson,UC Santa Barbara,3.0,103.0,1112.0,329.0,180.0,69.0,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-3.8,-0.5
39,37.0,TOR,Quincy Acy,Baylor,7.0,337.0,5392.0,1642.0,1179.0,217.0,0.444,0.35,0.759,16.0,4.9,3.5,0.6,8.7,0.078,-1.8,0.2
40,38.0,DEN,Quincy Miller,Baylor,3.0,69.0,934.0,295.0,169.0,37.0,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4.0,-0.5
41,39.0,DET,Khris Middleton,Texas A&M,8.0,502.0,15818.0,8090.0,2311.0,1670.0,0.457,0.394,0.873,31.5,16.1,4.6,3.3,37.4,0.114,0.5,10.1
42,40.0,POR,Will Barton,Memphis,8.0,486.0,11792.0,5343.0,2035.0,1215.0,0.433,0.347,0.785,24.3,11.0,4.2,2.5,20.5,0.083,-0.3,5.0
43,41.0,POR,Tyshawn Taylor,Kansas,2.0,61.0,491.0,174.0,33.0,57.0,0.354,0.36,0.684,8.0,2.9,0.5,0.9,-0.9,-0.088,-8.8,-0.8
44,42.0,MIL,Doron Lamb,Kentucky,2.0,100.0,1272.0,345.0,95.0,75.0,0.381,0.394,0.7,12.7,3.5,1.0,0.8,0.1,0.005,-5.9,-1.2
45,43.0,ATL,Mike Scott,Virginia,8.0,491.0,8070.0,3418.0,1545.0,434.0,0.457,0.36,0.763,16.4,7.0,3.1,0.9,14.9,0.089,-2.5,-1.0
46,44.0,DET,Kim English,Missouri,1.0,41.0,407.0,119.0,37.0,26.0,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
47,45.0,PHI,Justin Hamilton,LSU,3.0,113.0,1961.0,687.0,403.0,91.0,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8
48,46.0,NOH,Darius Miller,Kentucky,5.0,253.0,5161.0,1524.0,423.0,346.0,0.418,0.382,0.83,20.4,6.0,1.7,1.4,5.9,0.055,-1.7,0.4
49,47.0,UTA,Kevin Murphy,Tennessee Technological University,1.0,17.0,52.0,15.0,4.0,2.0,0.25,0.2,0.0,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2
50,48.0,NYK,Kostas Papanikolaou,,2.0,69.0,1089.0,249.0,158.0,101.0,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2
51,49.0,ORL,Kyle O'Quinn,Norfolk State,8.0,465.0,6622.0,2542.0,2131.0,624.0,0.517,0.228,0.741,14.2,5.5,4.6,1.3,17.4,0.126,1.9,6.5
52,50.0,DEN,İzzet Türkyılmaz,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,51.0,BOS,Kris Joseph,Syracuse,1.0,10.0,54.0,9.0,7.0,1.0,0.143,0.0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1
54,52.0,GSW,Ognjen Kuzmić,,2.0,37.0,164.0,35.0,38.0,8.0,0.52,0.0,0.6,4.4,0.9,1.0,0.2,0.2,0.061,-2.5,0.0
55,53.0,LAC,Furkan Aldemir,,1.0,41.0,540.0,93.0,176.0,28.0,0.513,0.0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-0.7,0.2
56,54.0,PHI,Tornike Shengelia,,2.0,45.0,247.0,59.0,39.0,17.0,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-6.6,-0.3
57,55.0,DAL,Darius Johnson-Odom,Marquette,2.0,7.0,21.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.9,0.3,-0.3,-0.597,-23.2,-0.1
58,56.0,TOR,Tomislav Zubčić,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,57.0,NJN,İlkan Karaman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,58.0,MIN,Robbie Hummel,Purdue,2.0,98.0,1397.0,379.0,266.0,50.0,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-2.9,-0.3
