,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26.0,OKC,48.0,48.0,1294.0,213.0,364.0,0.585,0.0,2.0,0.0,213.0,362.0,0.588,0.585,87.0,147.0,0.592,160.0,284.0,444.0,124.0,34.0,53.0,74.0,96.0,513.0
1,Bam Adebayo,PF,22.0,MIA,54.0,54.0,1865.0,334.0,577.0,0.579,1.0,11.0,0.091,333.0,566.0,0.588,0.58,186.0,273.0,0.681,140.0,422.0,562.0,266.0,67.0,64.0,145.0,130.0,855.0
2,LaMarcus Aldridge,C,34.0,SAS,50.0,50.0,1661.0,372.0,743.0,0.501,59.0,145.0,0.407,313.0,598.0,0.523,0.54,151.0,182.0,0.83,98.0,281.0,379.0,121.0,32.0,82.0,71.0,120.0,954.0
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,77.0,227.0,0.339,40.0,117.0,0.342,37.0,110.0,0.336,0.427,17.0,28.0,0.607,8.0,72.0,80.0,74.0,11.0,7.0,40.0,46.0,211.0
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,79.0,176.0,0.449,33.0,91.0,0.363,46.0,85.0,0.541,0.543,30.0,35.0,0.857,5.0,61.0,66.0,43.0,6.0,1.0,23.0,36.0,221.0
5,Jarrett Allen,C,21.0,BRK,53.0,49.0,1410.0,229.0,357.0,0.641,0.0,5.0,0.0,229.0,352.0,0.651,0.641,128.0,203.0,0.631,165.0,348.0,513.0,74.0,33.0,77.0,59.0,126.0,586.0
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,19.0,44.0,0.432,5.0,16.0,0.313,14.0,28.0,0.5,0.489,7.0,11.0,0.636,2.0,7.0,9.0,21.0,5.0,2.0,8.0,7.0,50.0
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,25.0,86.0,0.291,9.0,36.0,0.25,16.0,50.0,0.32,0.343,19.0,29.0,0.655,24.0,63.0,87.0,21.0,18.0,8.0,17.0,27.0,78.0
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0
9,Kyle Anderson,PF,26.0,MEM,48.0,9.0,868.0,106.0,213.0,0.498,8.0,41.0,0.195,98.0,172.0,0.57,0.516,35.0,54.0,0.648,45.0,154.0,199.0,103.0,36.0,24.0,41.0,72.0,255.0
10,Ryan Anderson,PF,31.0,HOU,2.0,0.0,14.0,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,1.0,5.0
11,Giannis Antetokounmpo,PF,25.0,MIL,48.0,48.0,1482.0,529.0,963.0,0.549,73.0,233.0,0.313,456.0,730.0,0.625,0.587,307.0,500.0,0.614,118.0,528.0,646.0,280.0,52.0,51.0,176.0,149.0,1438.0
12,Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
