,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,STL,TOV,TRB,Tm,Unnamed: 0,Yr,eFG%,Seasons
0,4199.0,2.953,9943.0,0.0,0.0,0.0,1147.0,210.0,0.0,0.0,4199.0,2.953,9943.0,3561.0,5.697,4371.0,510.0,0.0,19005.0,0.0,1960.0,11959.0,Paul Arizin*,N/A,0.0,0.0,4069.0,N/A,5.0,13713.0,2.953,7
1,52.0,0.317,164.0,0.0,0.0,0.0,18.0,22.0,0.0,0.0,52.0,0.317,164.0,43.0,0.623,69.0,31.0,0.0,409.0,0.0,60.0,147.0,Jesse Arnelle,N/A,0.0,0.0,170.0,N/A,1.0,1956.0,0.317,1
2,53.0,0.771,135.0,0.0,0.0,0.0,51.0,50.0,0.0,0.0,53.0,0.771,135.0,31.0,1.611,39.0,43.0,0.0,448.0,0.0,63.0,137.0,Dick Atha,N/A,0.0,0.0,66.0,N/A,3.0,3914.0,0.771,2
3,343.0,0.767,892.0,0.0,0.0,0.0,196.0,57.0,0.0,0.0,343.0,0.767,892.0,299.0,1.551,379.0,115.0,0.0,2200.0,0.0,195.0,985.0,Jim Baechtold,N/A,0.0,0.0,300.0,N/A,6.0,3913.0,0.767,2
4,207.0,0.38799999999999996,533.0,0.0,0.0,0.0,174.0,26.0,0.0,0.0,207.0,0.38799999999999996,533.0,93.0,0.7879999999999999,118.0,72.0,0.0,1451.0,0.0,184.0,507.0,Ernie Barrett,N/A,0.0,0.0,243.0,N/A,4.0,1956.0,0.38799999999999996,1
5,900.0,3.0,2312.0,0.0,0.0,0.0,650.0,217.0,0.0,0.0,900.0,3.0,2312.0,439.0,6.1240000000000006,577.0,366.0,0.0,6714.0,0.0,648.0,2239.0,Ernie Beck,N/A,0.0,0.0,1164.0,N/A,37.0,15673.0,3.0,6
6,5.0,0.556,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.556,9.0,4.0,0.5710000000000001,7.0,7.0,0.0,38.0,0.0,9.0,14.0,Don Bielke,N/A,0.0,0.0,9.0,N/A,6.0,1956.0,0.556,1
7,1887.0,2.8680000000000003,4704.0,0.0,0.0,0.0,1685.0,217.0,0.0,0.0,1887.0,2.8680000000000003,4704.0,1226.0,5.686999999999999,1476.0,404.0,0.0,11241.0,0.0,976.0,5000.0,Carl Braun*,N/A,0.0,0.0,1348.0,N/A,58.0,13713.0,2.8680000000000003,7
8,78.0,0.297,263.0,0.0,0.0,0.0,74.0,32.0,0.0,0.0,78.0,0.297,263.0,72.0,0.818,88.0,37.0,0.0,680.0,0.0,62.0,228.0,Frankie Brian,N/A,0.0,0.0,88.0,N/A,8.0,1956.0,0.297,1
9,738.0,1.134,1956.0,0.0,0.0,0.0,391.0,102.0,0.0,0.0,738.0,1.134,1956.0,372.0,2.003,554.0,203.0,0.0,5203.0,0.0,634.0,1848.0,Nat Clifton*,N/A,0.0,0.0,1346.0,N/A,28.0,5871.0,1.134,3
10,1327.0,2.057,3227.0,0.0,0.0,0.0,864.0,158.0,0.0,0.0,1327.0,2.057,3227.0,561.0,3.5380000000000003,790.0,294.0,0.0,9127.0,0.0,888.0,3215.0,Jack Coleman,N/A,0.0,0.0,2506.0,N/A,54.0,9783.0,2.057,3
11,2191.0,3.3229999999999995,5930.0,0.0,0.0,0.0,1081.0,225.0,0.0,0.0,2191.0,3.3229999999999995,5930.0,1364.0,6.605,1830.0,558.0,0.0,13347.0,0.0,1264.0,5746.0,Ed Conlin,N/A,0.0,0.0,2743.0,N/A,126.0,17631.0,3.3229999999999995,7
12,202.0,0.9810000000000001,616.0,0.0,0.0,0.0,178.0,87.0,0.0,0.0,202.0,0.9810000000000001,616.0,200.0,2.266,266.0,134.0,0.0,2288.0,0.0,280.0,604.0,Chuck Cooper*,N/A,0.0,0.0,478.0,N/A,45.0,5868.0,0.9810000000000001,1
13,3783.0,3.351,10044.0,0.0,0.0,0.0,4551.0,285.0,0.0,0.0,3783.0,3.351,10044.0,2589.0,7.430000000000001,3206.0,575.0,0.0,18935.0,0.0,1274.0,10155.0,Bob Cousy*,N/A,0.0,0.0,2624.0,N/A,178.0,17646.0,3.351,9
14,0.0,0.0,6.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,16.0,0.0,2.0,2.0,Red Davis,N/A,0.0,0.0,4.0,N/A,18.0,1956.0,0.0,1
15,471.0,1.822,1258.0,0.0,0.0,0.0,166.0,132.0,0.0,0.0,471.0,1.822,1258.0,273.0,3.5729999999999995,382.0,257.0,0.0,3673.0,0.0,751.0,1215.0,Walt Davis,N/A,0.0,0.0,930.0,N/A,77.0,9787.0,1.822,3
16,556.0,2.5869999999999997,1308.0,0.0,0.0,0.0,605.0,168.0,0.0,0.0,556.0,2.5869999999999997,1308.0,375.0,4.095000000000001,558.0,324.0,0.0,5027.0,0.0,556.0,1487.0,George Dempsey,N/A,0.0,0.0,1049.0,N/A,104.0,11748.0,2.5869999999999997,4
17,560.0,1.096,1532.0,0.0,0.0,0.0,446.0,75.0,0.0,0.0,560.0,1.096,1532.0,376.0,2.211,507.0,210.0,0.0,4025.0,0.0,337.0,1496.0,Corky Devlin,N/A,0.0,0.0,449.0,N/A,56.0,5871.0,1.096,3
18,1912.0,2.955,5175.0,0.0,0.0,0.0,608.0,228.0,0.0,0.0,1912.0,2.955,5175.0,1941.0,5.6240000000000006,2773.0,553.0,0.0,14671.0,0.0,2260.0,5765.0,Walter Dukes,N/A,0.0,0.0,6223.0,N/A,185.0,15676.0,2.955,8
19,345.0,0.768,899.0,0.0,0.0,0.0,275.0,49.0,0.0,0.0,345.0,0.768,899.0,280.0,1.428,393.0,142.0,0.0,2709.0,0.0,284.0,970.0,Dick Farley,N/A,0.0,0.0,360.0,N/A,46.0,3915.0,0.768,2
20,8.0,0.28600000000000003,28.0,0.0,0.0,0.0,6.0,24.0,0.0,0.0,8.0,0.28600000000000003,28.0,14.0,0.875,16.0,10.0,0.0,59.0,0.0,9.0,30.0,Ron Feiereisel,N/A,0.0,0.0,6.0,N/A,25.0,1956.0,0.28600000000000003,1
21,1768.0,3.561,4381.0,0.0,0.0,0.0,338.0,254.0,0.0,0.0,1768.0,3.561,4381.0,1473.0,6.101,2097.0,540.0,0.0,11373.0,0.0,2057.0,5009.0,Ray Felix,N/A,0.0,0.0,4218.0,N/A,240.0,17633.0,3.561,7
22,878.0,2.157,2389.0,0.0,0.0,0.0,943.0,157.0,0.0,0.0,878.0,2.157,2389.0,769.0,4.648,1012.0,371.0,0.0,7582.0,0.0,1008.0,2525.0,Al Ferrari,N/A,0.0,0.0,830.0,N/A,184.0,11761.0,2.157,6
23,862.0,1.8199999999999998,2403.0,0.0,0.0,0.0,544.0,120.0,0.0,0.0,862.0,1.8199999999999998,2403.0,787.0,3.6719999999999997,1077.0,292.0,0.0,6186.0,0.0,688.0,2511.0,Ed Fleming,N/A,0.0,0.0,1532.0,N/A,133.0,9790.0,1.8199999999999998,5
24,2012.0,2.904,4879.0,0.0,0.0,0.0,648.0,272.0,0.0,0.0,2012.0,2.904,4879.0,1975.0,5.411,2573.0,546.0,0.0,12015.0,0.0,1628.0,5999.0,Larry Foust,N/A,0.0,0.0,4044.0,N/A,274.0,17633.0,2.904,7
25,994.0,1.171,2549.0,0.0,0.0,0.0,339.0,87.0,0.0,0.0,994.0,1.171,2549.0,1165.0,2.374,1472.0,216.0,0.0,6311.0,0.0,639.0,3153.0,Harry Gallatin*,N/A,0.0,0.0,2214.0,N/A,82.0,5871.0,1.171,3
26,2345.0,3.204,5834.0,0.0,0.0,0.0,1320.0,207.0,0.0,0.0,2345.0,3.204,5834.0,1756.0,6.299,2237.0,491.0,0.0,14087.0,0.0,1354.0,6446.0,Dick Garmaker,N/A,0.0,0.0,2061.0,N/A,263.0,15671.0,3.204,6
27,1584.0,2.8440000000000003,4408.0,0.0,0.0,0.0,1719.0,237.0,0.0,0.0,1584.0,2.8440000000000003,4408.0,1155.0,5.918,1564.0,438.0,0.0,12613.0,0.0,990.0,4323.0,Jack George,N/A,0.0,0.0,1734.0,N/A,261.0,15669.0,2.8440000000000003,6
28,3327.0,5.232,7674.0,0.0,0.0,0.0,3260.0,344.0,0.0,0.0,3327.0,5.232,7674.0,2113.0,9.136000000000001,2775.0,771.0,0.0,25199.0,0.0,2983.0,8767.0,Tom Gola*,N/A,0.0,0.0,6134.0,N/A,472.0,23540.0,5.232,10
