b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sat, Oct 27, 1956",/boxscores/195610270NYK.html,Boston Celtics,115,New York Knicks,112,Box Score,,,
"Sat, Oct 27, 1956",/boxscores/195610270PHW.html,Syracuse Nationals,109,Philadelphia Warriors,103,Box Score,2OT,,"at New York, NY"
"Sat, Oct 27, 1956",/boxscores/195610270ROC.html,Fort Wayne Pistons,85,Rochester Royals,88,Box Score,,,
"Sat, Oct 27, 1956",/boxscores/195610270STL.html,Minneapolis Lakers,75,St. Louis Hawks,97,Box Score,,,
"Sun, Oct 28, 1956",/boxscores/195610280FTW.html,Minneapolis Lakers,88,Fort Wayne Pistons,94,Box Score,,,
"Sun, Oct 28, 1956",/boxscores/195610280SYR.html,Rochester Royals,75,Syracuse Nationals,91,Box Score,,,
"Thu, Nov 1, 1956",/boxscores/195611010MNL.html,Rochester Royals,88,Minneapolis Lakers,97,Box Score,,,"at Johnstown, PA"
"Sat, Nov 3, 1956",/boxscores/195611030BOS.html,New York Knicks,113,Boston Celtics,107,Box Score,,,
"Sat, Nov 3, 1956",/boxscores/195611030PHW.html,Fort Wayne Pistons,81,Philadelphia Warriors,116,Box Score,,,
"Sat, Nov 3, 1956",/boxscores/195611030ROC.html,Minneapolis Lakers,95,Rochester Royals,85,Box Score,,,
"Sat, Nov 3, 1956",/boxscores/195611030STL.html,Syracuse Nationals,75,St. Louis Hawks,73,Box Score,,,"at Buffalo, NY"
"Sun, Nov 4, 1956",/boxscores/195611040SYR.html,St. Louis Hawks,78,Syracuse Nationals,76,Box Score,,,
"Sun, Nov 4, 1956",/boxscores/195611040MNL.html,Rochester Royals,87,Minneapolis Lakers,88,Box Score,,,
"Sun, Nov 4, 1956",/boxscores/195611040FTW.html,New York Knicks,96,Fort Wayne Pistons,83,Box Score,,,
"Wed, Nov 7, 1956",/boxscores/195611070ROC.html,Philadelphia Warriors,80,Rochester Royals,81,Box Score,,,
"Wed, Nov 7, 1956",/boxscores/195611070STL.html,New York Knicks,101,St. Louis Hawks,107,Box Score,,,
"Fri, Nov 9, 1956",/boxscores/195611090PHW.html,Rochester Royals,95,Philadelphia Warriors,93,Box Score,,,
"Sat, Nov 10, 1956",/boxscores/195611100STL.html,Fort Wayne Pistons,79,St. Louis Hawks,86,Box Score,,,
"Sat, Nov 10, 1956",/boxscores/195611100ROC.html,Syracuse Nationals,76,Rochester Royals,90,Box Score,,,
"Sat, Nov 10, 1956",/boxscores/195611100PHW.html,New York Knicks,81,Philadelphia Warriors,83,Box Score,,,
"Sat, Nov 10, 1956",/boxscores/195611100BOS.html,Minneapolis Lakers,110,Boston Celtics,117,Box Score,,,
"Sun, Nov 11, 1956",/boxscores/195611110FTW.html,St. Louis Hawks,81,Fort Wayne Pistons,96,Box Score,,,
"Sun, Nov 11, 1956",/boxscores/195611110MNL.html,Rochester Royals,94,Minneapolis Lakers,82,Box Score,,,"at New York, NY"
"Sun, Nov 11, 1956",/boxscores/195611110NYK.html,Philadelphia Warriors,95,New York Knicks,106,Box Score,,,
"Sun, Nov 11, 1956",/boxscores/195611110SYR.html,Boston Celtics,94,Syracuse Nationals,83,Box Score,,,
"Tue, Nov 13, 1956",/boxscores/195611130STL.html,Rochester Royals,105,St. Louis Hawks,118,Box Score,,,
"Wed, Nov 14, 1956",/boxscores/195611140ROC.html,New York Knicks,87,Rochester Royals,90,Box Score,,,
"Wed, Nov 14, 1956",/boxscores/195611140BOS.html,Minneapolis Lakers,113,Boston Celtics,97,Box Score,,,"at Rochester, NY"
"Thu, Nov 15, 1956",/boxscores/195611150FTW.html,Boston Celtics,95,Fort Wayne Pistons,98,Box Score,,,
"Thu, Nov 15, 1956",/boxscores/195611150PHW.html,Rochester Royals,83,Philadelphia Warriors,92,Box Score,,,"at Hershey, PA"
"Thu, Nov 15, 1956",/boxscores/195611150SYR.html,Minneapolis Lakers,103,Syracuse Nationals,96,Box Score,,,
"Fri, Nov 16, 1956",/boxscores/195611160PHW.html,Minneapolis Lakers,97,Philadelphia Warriors,123,Box Score,,,
"Sat, Nov 17, 1956",/boxscores/195611170STL.html,Fort Wayne Pistons,87,St. Louis Hawks,92,Box Score,,,
"Sat, Nov 17, 1956",/boxscores/195611170PHW.html,Syracuse Nationals,96,Philadelphia Warriors,109,Box Score,,,"at Camden, NJ"
"Sat, Nov 17, 1956",/boxscores/195611170BOS.html,Rochester Royals,86,Boston Celtics,108,Box Score,,,
"Sun, Nov 18, 1956",/boxscores/195611180MNL.html,Fort Wayne Pistons,111,Minneapolis Lakers,107,Box Score,,,
"Sun, Nov 18, 1956",/boxscores/195611180NYK.html,St. Louis Hawks,69,New York Knicks,102,Box Score,,,
"Sun, Nov 18, 1956",/boxscores/195611180ROC.html,Boston Celtics,101,Rochester Royals,87,Box Score,,,
"Sun, Nov 18, 1956",/boxscores/195611180SYR.html,Philadelphia Warriors,97,Syracuse Nationals,99,Box Score,,,
"Tue, Nov 20, 1956",/boxscores/195611200STL.html,Syracuse Nationals,81,St. Louis Hawks,104,Box Score,,,
"Wed, Nov 21, 1956",/boxscores/195611210ROC.html,St. Louis Hawks,76,Rochester Royals,85,Box Score,,,
"Wed, Nov 21, 1956",/boxscores/195611210FTW.html,New York Knicks,103,Fort Wayne Pistons,104,Box Score,OT,,"at Boston, MA"
"Wed, Nov 21, 1956",/boxscores/195611210BOS.html,Philadelphia Warriors,83,Boston Celtics,95,Box Score,,,
"Thu, Nov 22, 1956",/boxscores/195611220FTW.html,Rochester Royals,102,Fort Wayne Pistons,104,Box Score,OT,,
"Thu, Nov 22, 1956",/boxscores/195611220MNL.html,Syracuse Nationals,78,Minneapolis Lakers,111,Box Score,,,
"Thu, Nov 22, 1956",/boxscores/195611220PHW.html,Boston Celtics,101,Philadelphia Warriors,78,Box Score,,,
"Sat, Nov 24, 1956",/boxscores/195611240STL.html,Minneapolis Lakers,104,St. Louis Hawks,102,Box Score,OT,,
"Sat, Nov 24, 1956",/boxscores/195611240PHW.html,Fort Wayne Pistons,88,Philadelphia Warriors,98,Box Score,,,
"Sat, Nov 24, 1956",/boxscores/195611240NYK.html,Rochester Royals,96,New York Knicks,87,Box Score,,,
"Sat, Nov 24, 1956",/boxscores/195611240BOS.html,Syracuse Nationals,99,Boston Celtics,114,Box Score,,,
"Sun, Nov 25, 1956",/boxscores/195611250FTW.html,Philadelphia Warriors,88,Fort Wayne Pistons,112,Box Score,,,
"Sun, Nov 25, 1956",/boxscores/195611250MNL.html,St. Louis Hawks,95,Minneapolis Lakers,94,Box Score,,,
"Sun, Nov 25, 1956",/boxscores/195611250ROC.html,New York Knicks,93,Rochester Royals,95,Box Score,,,
"Tue, Nov 27, 1956",/boxscores/195611270STL.html,Boston Celtics,102,St. Louis Hawks,90,Box Score,,,
"Tue, Nov 27, 1956",/boxscores/195611270ROC.html,Syracuse Nationals,82,Rochester Royals,90,Box Score,,,"at New York, NY"
"Tue, Nov 27, 1956",/boxscores/195611270NYK.html,Fort Wayne Pistons,98,New York Knicks,105,Box Score,,,
"Tue, Nov 27, 1956",/boxscores/195611270MNL.html,Philadelphia Warriors,98,Minneapolis Lakers,113,Box Score,,,"at St. Louis, MO"
"Wed, Nov 28, 1956",/boxscores/195611280BOS.html,Minneapolis Lakers,93,Boston Celtics,105,Box Score,,,"at Louisville, KY"
"Thu, Nov 29, 1956",/boxscores/195611290SYR.html,Fort Wayne Pistons,92,Syracuse Nationals,87,Box Score,,,
"Fri, Nov 30, 1956",/boxscores/195611300BOS.html,Fort Wayne Pistons,102,Boston Celtics,104,Box Score,,,"at Philadelphia, PA"
"Fri, Nov 30, 1956",/boxscores/195611300PHW.html,New York Knicks,99,Philadelphia Warriors,110,Box Score,,,
"Sat, Dec 1, 1956",/boxscores/195612010BOS.html,Fort Wayne Pistons,93,Boston Celtics,108,Box Score,,,
"Sat, Dec 1, 1956",/boxscores/195612010NYK.html,Syracuse Nationals,100,New York Knicks,117,Box Score,,,
"Sat, Dec 1, 1956",/boxscores/195612010ROC.html,Minneapolis Lakers,83,Rochester Royals,95,Box Score,,,
"Sat, Dec 1, 1956",/boxscores/195612010STL.html,Philadelphia Warriors,107,St. Louis Hawks,95,Box Score,,,
"Sun, Dec 2, 1956",/boxscores/195612020MNL.html,Philadelphia Warriors,96,Minneapolis Lakers,106,Box Score,,,
"Sun, Dec 2, 1956",/boxscores/195612020SYR.html,New York Knicks,100,Syracuse Nationals,110,Box Score,,,
"Tue, Dec 4, 1956",/boxscores/195612040NYK.html,Minneapolis Lakers,88,New York Knicks,101,Box Score,,,
"Tue, Dec 4, 1956",/boxscores/195612040FTW.html,Syracuse Nationals,97,Fort Wayne Pistons,96,Box Score,OT,,"at Albany, NY"
"Tue, Dec 4, 1956",/boxscores/195612040BOS.html,St. Louis Hawks,107,Boston Celtics,108,Box Score,,,"at New York, NY"
"Thu, Dec 6, 1956",/boxscores/195612060FTW.html,Syracuse Nationals,92,Fort Wayne Pistons,104,Box Score,,,
"Thu, Dec 6, 1956",/boxscores/195612060MNL.html,St. Louis Hawks,96,Minneapolis Lakers,103,Box Score,,,"at Philadelphia, PA"
"Thu, Dec 6, 1956",/boxscores/195612060NYK.html,Rochester Royals,92,New York Knicks,95,Box Score,,,"at Fort Wayne, IN"
"Thu, Dec 6, 1956",/boxscores/195612060PHW.html,Boston Celtics,111,Philadelphia Warriors,113,Box Score,,,
"Fri, Dec 7, 1956",/boxscores/195612070STL.html,New York Knicks,107,St. Louis Hawks,101,Box Score,,,
"Fri, Dec 7, 1956",/boxscores/195612070FTW.html,Syracuse Nationals,97,Fort Wayne Pistons,105,Box Score,,,"at St. Louis, MO"
"Fri, Dec 7, 1956",/boxscores/195612070BOS.html,Minneapolis Lakers,114,Boston Celtics,121,Box Score,,,
"Sat, Dec 8, 1956",/boxscores/195612080NYK.html,St. Louis Hawks,104,New York Knicks,109,Box Score,,,"at Milwaukee, WI"
"Sat, Dec 8, 1956",/boxscores/195612080ROC.html,Philadelphia Warriors,91,Rochester Royals,92,Box Score,,,
"Sun, Dec 9, 1956",/boxscores/195612090FTW.html,Rochester Royals,101,Fort Wayne Pistons,100,Box Score,OT,,
"Sun, Dec 9, 1956",/boxscores/195612090MNL.html,New York Knicks,100,Minneapolis Lakers,91,Box Score,,,
"Sun, Dec 9, 1956",/boxscores/195612090SYR.html,Boston Celtics,110,Syracuse Nationals,116,Box Score,,,
"Tue, Dec 11, 1956",/boxscores/195612110PHW.html,Minneapolis Lakers,111,Philadelphia Warriors,114,Box Score,,,
"Tue, Dec 11, 1956",/boxscores/195612110NYK.html,St. Louis Hawks,137,New York Knicks,128,Box Score,,,
"Tue, Dec 11, 1956",/boxscores/195612110BOS.html,Fort Wayne Pistons,97,Boston Celtics,113,Box Score,,,"at New York, NY"
"Wed, Dec 12, 1956",/boxscores/195612120BOS.html,Rochester Royals,103,Boston Celtics,93,Box Score,,,
"Wed, Dec 12, 1956",/boxscores/195612120MNL.html,New York Knicks,103,Minneapolis Lakers,121,Box Score,,,"at Boston, MA"
"Wed, Dec 12, 1956",/boxscores/195612120PHW.html,St. Louis Hawks,99,Philadelphia Warriors,115,Box Score,,,
"Sat, Dec 15, 1956",/boxscores/195612150SYR.html,Philadelphia Warriors,117,Syracuse Nationals,108,Box Score,,,
"Sat, Dec 15, 1956",/boxscores/195612150ROC.html,New York Knicks,91,Rochester Royals,76,Box Score,,,
"Sat, Dec 15, 1956",/boxscores/195612150BOS.html,St. Louis Hawks,99,Boston Celtics,102,Box Score,,,
"Sun, Dec 16, 1956",/boxscores/195612160BOS.html,Philadelphia Warriors,116,Boston Celtics,104,Box Score,,,"at Camden, NJ"
"Sun, Dec 16, 1956",/boxscores/195612160FTW.html,New York Knicks,80,Fort Wayne Pistons,84,Box Score,,,
"Sun, Dec 16, 1956",/boxscores/195612160MNL.html,Rochester Royals,97,Minneapolis Lakers,101,Box Score,,,
"Sun, Dec 16, 1956",/boxscores/195612160SYR.html,St. Louis Hawks,91,Syracuse Nationals,101,Box Score,,,
"Tue, Dec 18, 1956",/boxscores/195612180FTW.html,St. Louis Hawks,95,Fort Wayne Pistons,84,Box Score,,,"at New York, NY"
"Tue, Dec 18, 1956",/boxscores/195612180NYK.html,Boston Celtics,99,New York Knicks,110,Box Score,,,
"Thu, Dec 20, 1956",/boxscores/195612200MNL.html,Rochester Royals,103,Minneapolis Lakers,105,Box Score,,,"at Albany, NY"
"Sat, Dec 22, 1956",/boxscores/195612220BOS.html,St. Louis Hawks,93,Boston Celtics,95,Box Score,,,
"Sat, Dec 22, 1956",/boxscores/195612220ROC.html,Minneapolis Lakers,101,Rochester Royals,115,Box Score,,,
"Sun, Dec 23, 1956",/boxscores/195612230FTW.html,Boston Celtics,87,Fort Wayne Pistons,95,Box Score,,,
"Sun, Dec 23, 1956",/boxscores/195612230NYK.html,Philadelphia Warriors,95,New York Knicks,90,Box Score,,,
"Sun, Dec 23, 1956",/boxscores/195612230SYR.html,Minneapolis Lakers,97,Syracuse Nationals,107,Box Score,,,
"Tue, Dec 25, 1956",/boxscores/195612250ROC.html,Syracuse Nationals,93,Rochester Royals,98,Box Score,,,
"Tue, Dec 25, 1956",/boxscores/195612250NYK.html,St. Louis Hawks,107,New York Knicks,105,Box Score,OT,,
"Tue, Dec 25, 1956",/boxscores/195612250FTW.html,Minneapolis Lakers,100,Fort Wayne Pistons,89,Box Score,,,"at Rochester, NY"
"Tue, Dec 25, 1956",/boxscores/195612250BOS.html,Philadelphia Warriors,89,Boston Celtics,82,Box Score,,,"at New York, NY"
"Wed, Dec 26, 1956",/boxscores/195612260BOS.html,Philadelphia Warriors,97,Boston Celtics,120,Box Score,,,
"Wed, Dec 26, 1956",/boxscores/195612260FTW.html,Rochester Royals,93,Fort Wayne Pistons,99,Box Score,,,"at Boston, MA"
"Thu, Dec 27, 1956",/boxscores/195612270STL.html,Syracuse Nationals,95,St. Louis Hawks,102,Box Score,,,
"Thu, Dec 27, 1956",/boxscores/195612270PHW.html,New York Knicks,87,Philadelphia Warriors,112,Box Score,,,
"Thu, Dec 27, 1956",/boxscores/195612270FTW.html,Minneapolis Lakers,93,Fort Wayne Pistons,120,Box Score,,,
"Thu, Dec 27, 1956",/boxscores/195612270BOS.html,Rochester Royals,92,Boston Celtics,97,Box Score,,,"at Philadelphia, PA"
"Sat, Dec 29, 1956",/boxscores/195612290MNL.html,St. Louis Hawks,95,Minneapolis Lakers,92,Box Score,,,
"Sat, Dec 29, 1956",/boxscores/195612290PHW.html,Syracuse Nationals,104,Philadelphia Warriors,103,Box Score,OT,,
"Sat, Dec 29, 1956",/boxscores/195612290ROC.html,Fort Wayne Pistons,88,Rochester Royals,95,Box Score,,,
"Sun, Dec 30, 1956",/boxscores/195612300BOS.html,Syracuse Nationals,92,Boston Celtics,105,Box Score,,,"at Providence, RI"
"Sun, Dec 30, 1956",/boxscores/195612300FTW.html,Philadelphia Warriors,99,Fort Wayne Pistons,104,Box Score,,,
"Sun, Dec 30, 1956",/boxscores/195612300NYK.html,Rochester Royals,88,New York Knicks,96,Box Score,,,
"Sun, Dec 30, 1956",/boxscores/195612300STL.html,Minneapolis Lakers,93,St. Louis Hawks,100,Box Score,,,
"Tue, Jan 1, 1957",/boxscores/195701010BOS.html,Philadelphia Warriors,87,Boston Celtics,100,Box Score,,,"at Syracuse, NY"
"Tue, Jan 1, 1957",/boxscores/195701010ROC.html,St. Louis Hawks,101,Rochester Royals,102,Box Score,OT,,
"Tue, Jan 1, 1957",/boxscores/195701010SYR.html,New York Knicks,102,Syracuse Nationals,106,Box Score,,,
"Thu, Jan 3, 1957",/boxscores/195701030FTW.html,Minneapolis Lakers,102,Fort Wayne Pistons,104,Box Score,,,
"Thu, Jan 3, 1957",/boxscores/195701030NYK.html,Syracuse Nationals,111,New York Knicks,126,Box Score,,,
"Thu, Jan 3, 1957",/boxscores/195701030PHW.html,St. Louis Hawks,81,Philadelphia Warriors,82,Box Score,,,"at New York, NY"
"Fri, Jan 4, 1957",/boxscores/195701040BOS.html,Syracuse Nationals,116,Boston Celtics,106,Box Score,,,"at Philadelphia, PA"
"Fri, Jan 4, 1957",/boxscores/195701040PHW.html,St. Louis Hawks,92,Philadelphia Warriors,96,Box Score,,,
"Sat, Jan 5, 1957",/boxscores/195701050ROC.html,Philadelphia Warriors,81,Rochester Royals,78,Box Score,,,
"Sat, Jan 5, 1957",/boxscores/195701050FTW.html,New York Knicks,96,Fort Wayne Pistons,109,Box Score,,,
"Sun, Jan 6, 1957",/boxscores/195701060BOS.html,Fort Wayne Pistons,92,Boston Celtics,118,Box Score,,,
"Sun, Jan 6, 1957",/boxscores/195701060MNL.html,New York Knicks,111,Minneapolis Lakers,101,Box Score,,,
"Sun, Jan 6, 1957",/boxscores/195701060STL.html,Rochester Royals,93,St. Louis Hawks,86,Box Score,,,
"Sun, Jan 6, 1957",/boxscores/195701060SYR.html,Philadelphia Warriors,123,Syracuse Nationals,128,Box Score,,,
"Tue, Jan 8, 1957",/boxscores/195701080FTW.html,Minneapolis Lakers,86,Fort Wayne Pistons,87,Box Score,,,"at Winnipeg, Canada"
"Tue, Jan 8, 1957",/boxscores/195701080NYK.html,Boston Celtics,102,New York Knicks,113,Box Score,,,
"Tue, Jan 8, 1957",/boxscores/195701080PHW.html,Rochester Royals,95,Philadelphia Warriors,94,Box Score,,,"at New York, NY"
"Wed, Jan 9, 1957",/boxscores/195701090MNL.html,Syracuse Nationals,86,Minneapolis Lakers,93,Box Score,,,"at Moorhead, MN"
"Thu, Jan 10, 1957",/boxscores/195701100FTW.html,Boston Celtics,98,Fort Wayne Pistons,81,Box Score,,,
"Thu, Jan 10, 1957",/boxscores/195701100NYK.html,St. Louis Hawks,84,New York Knicks,89,Box Score,OT,,"at Philadelphia, PA"
"Thu, Jan 10, 1957",/boxscores/195701100PHW.html,Rochester Royals,93,Philadelphia Warriors,112,Box Score,,,
"Thu, Jan 10, 1957",/boxscores/195701100SYR.html,Minneapolis Lakers,118,Syracuse Nationals,110,Box Score,,,
"Sat, Jan 12, 1957",/boxscores/195701120STL.html,Boston Celtics,98,St. Louis Hawks,100,Box Score,,,
"Sat, Jan 12, 1957",/boxscores/195701120ROC.html,Syracuse Nationals,97,Rochester Royals,88,Box Score,,,
"Sat, Jan 12, 1957",/boxscores/195701120PHW.html,New York Knicks,82,Philadelphia Warriors,116,Box Score,,,
"Sat, Jan 12, 1957",/boxscores/195701120FTW.html,Minneapolis Lakers,105,Fort Wayne Pistons,87,Box Score,,,"at St. Louis, MO"
"Sun, Jan 13, 1957",/boxscores/195701130SYR.html,Rochester Royals,85,Syracuse Nationals,91,Box Score,,,
"Sun, Jan 13, 1957",/boxscores/195701130NYK.html,Philadelphia Warriors,90,New York Knicks,101,Box Score,,,
"Sun, Jan 13, 1957",/boxscores/195701130MNL.html,Boston Celtics,87,Minneapolis Lakers,104,Box Score,,,
"Sun, Jan 13, 1957",/boxscores/195701130FTW.html,St. Louis Hawks,89,Fort Wayne Pistons,91,Box Score,,,
"Wed, Jan 16, 1957",/boxscores/195701160ROC.html,St. Louis Hawks,108,Rochester Royals,106,Box Score,OT,,
"Thu, Jan 17, 1957",/boxscores/195701170FTW.html,St. Louis Hawks,106,Fort Wayne Pistons,82,Box Score,,,"at Philadelphia, PA"
"Thu, Jan 17, 1957",/boxscores/195701170MNL.html,New York Knicks,94,Minneapolis Lakers,93,Box Score,,,"at Lacrosse, WI"
"Thu, Jan 17, 1957",/boxscores/195701170PHW.html,Syracuse Nationals,108,Philadelphia Warriors,103,Box Score,,,
"Fri, Jan 18, 1957",/boxscores/195701180PHW.html,Syracuse Nationals,94,Philadelphia Warriors,96,Box Score,,,"at Boston, MA"
"Fri, Jan 18, 1957",/boxscores/195701180BOS.html,St. Louis Hawks,117,Boston Celtics,126,Box Score,,,
