b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Oct 29, 1982",/boxscores/198210290CLE.html,,Boston Celtics,104,Cleveland Cavaliers,93,Box Score,,"8,633",
"Fri, Oct 29, 1982",/boxscores/198210290UTA.html,,San Antonio Spurs,120,Utah Jazz,114,Box Score,,"8,436",
"Fri, Oct 29, 1982",/boxscores/198210290SEA.html,,Houston Rockets,95,Seattle SuperSonics,128,Box Score,,"21,885",
"Fri, Oct 29, 1982",/boxscores/198210290SDC.html,,Phoenix Suns,113,San Diego Clippers,99,Box Score,,"5,063",
"Fri, Oct 29, 1982",/boxscores/198210290NYK.html,,Philadelphia 76ers,104,New York Knicks,89,Box Score,,"19,591",
"Fri, Oct 29, 1982",/boxscores/198210290LAL.html,,Golden State Warriors,132,Los Angeles Lakers,117,Box Score,,"15,802",
"Fri, Oct 29, 1982",/boxscores/198210290KCK.html,,Portland Trail Blazers,111,Kansas City Kings,113,Box Score,,"12,492",
"Fri, Oct 29, 1982",/boxscores/198210290IND.html,,Washington Bullets,90,Indiana Pacers,93,Box Score,,"3,622",
"Fri, Oct 29, 1982",/boxscores/198210290DET.html,,Atlanta Hawks,86,Detroit Pistons,94,Box Score,,"15,252",
"Fri, Oct 29, 1982",/boxscores/198210290DEN.html,,Dallas Mavericks,125,Denver Nuggets,117,Box Score,,"12,099",
"Fri, Oct 29, 1982",/boxscores/198210290NJN.html,7:40p,Chicago Bulls,102,New Jersey Nets,114,Box Score,,"11,042",
"Sat, Oct 30, 1982",/boxscores/198210300SAS.html,,Portland Trail Blazers,107,San Antonio Spurs,112,Box Score,,"12,150",
"Sat, Oct 30, 1982",/boxscores/198210300PHI.html,,New Jersey Nets,99,Philadelphia 76ers,110,Box Score,,"18,482",
"Sat, Oct 30, 1982",/boxscores/198210300MIL.html,,New York Knicks,86,Milwaukee Bucks,108,Box Score,,"11,052",
"Sat, Oct 30, 1982",/boxscores/198210300GSW.html,,Houston Rockets,110,Golden State Warriors,117,Box Score,,"7,506",
"Sat, Oct 30, 1982",/boxscores/198210300DAL.html,,Utah Jazz,128,Dallas Mavericks,123,Box Score,,"9,203",
"Sat, Oct 30, 1982",/boxscores/198210300CHI.html,,Washington Bullets,143,Chicago Bulls,125,Box Score,,"9,218",
"Sat, Oct 30, 1982",/boxscores/198210300ATL.html,,Boston Celtics,112,Atlanta Hawks,97,Box Score,,"13,419",
"Sun, Oct 31, 1982",/boxscores/198210310CLE.html,,Milwaukee Bucks,119,Cleveland Cavaliers,95,Box Score,,"6,622",
"Sun, Oct 31, 1982",/boxscores/198210310DEN.html,,Phoenix Suns,110,Denver Nuggets,114,Box Score,,"8,893",
"Sun, Oct 31, 1982",/boxscores/198210310IND.html,,Detroit Pistons,118,Indiana Pacers,115,Box Score,,"4,268",
"Sun, Oct 31, 1982",/boxscores/198210310SDC.html,,Seattle SuperSonics,127,San Diego Clippers,109,Box Score,,"3,507",
"Tue, Nov 2, 1982",/boxscores/198211020ATL.html,,Washington Bullets,88,Atlanta Hawks,105,Box Score,,"5,149",
"Tue, Nov 2, 1982",/boxscores/198211020CLE.html,,Detroit Pistons,128,Cleveland Cavaliers,119,Box Score,,"2,976",
"Tue, Nov 2, 1982",/boxscores/198211020HOU.html,,Dallas Mavericks,113,Houston Rockets,103,Box Score,,"8,491",
"Tue, Nov 2, 1982",/boxscores/198211020KCK.html,,Milwaukee Bucks,112,Kansas City Kings,119,Box Score,,"7,442",
"Tue, Nov 2, 1982",/boxscores/198211020PHO.html,,Portland Trail Blazers,87,Phoenix Suns,92,Box Score,,"10,274",
"Tue, Nov 2, 1982",/boxscores/198211020UTA.html,,Seattle SuperSonics,120,Utah Jazz,92,Box Score,,"7,378",
"Tue, Nov 2, 1982",/boxscores/198211020NJN.html,7:42p,San Diego Clippers,100,New Jersey Nets,110,Box Score,,"10,220",
"Wed, Nov 3, 1982",/boxscores/198211030BOS.html,,Indiana Pacers,104,Boston Celtics,111,Box Score,,"15,320",
"Wed, Nov 3, 1982",/boxscores/198211030DAL.html,,Houston Rockets,101,Dallas Mavericks,102,Box Score,,"7,798",
"Wed, Nov 3, 1982",/boxscores/198211030DEN.html,,Los Angeles Lakers,135,Denver Nuggets,134,Box Score,OT,"14,807",
"Wed, Nov 3, 1982",/boxscores/198211030DET.html,,Chicago Bulls,144,Detroit Pistons,152,Box Score,,"6,288",
"Wed, Nov 3, 1982",/boxscores/198211030GSW.html,,New York Knicks,97,Golden State Warriors,99,Box Score,,"13,335",
"Wed, Nov 3, 1982",/boxscores/198211030PHI.html,,San Diego Clippers,111,Philadelphia 76ers,130,Box Score,,"13,674",
"Wed, Nov 3, 1982",/boxscores/198211030SEA.html,,San Antonio Spurs,107,Seattle SuperSonics,109,Box Score,,"9,808",
"Wed, Nov 3, 1982",/boxscores/198211030WSB.html,,New Jersey Nets,85,Washington Bullets,104,Box Score,,"14,872",
"Thu, Nov 4, 1982",/boxscores/198211040ATL.html,,Milwaukee Bucks,104,Atlanta Hawks,100,Box Score,,"8,895",
"Thu, Nov 4, 1982",/boxscores/198211040CHI.html,,Cleveland Cavaliers,111,Chicago Bulls,118,Box Score,,"4,520",
"Thu, Nov 4, 1982",/boxscores/198211040LAL.html,,Denver Nuggets,108,Los Angeles Lakers,131,Box Score,,"12,815",
"Thu, Nov 4, 1982",/boxscores/198211040PHO.html,,Utah Jazz,104,Phoenix Suns,119,Box Score,,"10,095",
"Thu, Nov 4, 1982",/boxscores/198211040POR.html,,San Antonio Spurs,108,Portland Trail Blazers,107,Box Score,OT,"12,666",
"Fri, Nov 5, 1982",/boxscores/198211050BOS.html,,Washington Bullets,97,Boston Celtics,104,Box Score,,"15,320",
"Fri, Nov 5, 1982",/boxscores/198211050CLE.html,,New Jersey Nets,99,Cleveland Cavaliers,91,Box Score,,"2,981",
"Fri, Nov 5, 1982",/boxscores/198211050DET.html,,Philadelphia 76ers,120,Detroit Pistons,109,Box Score,,"28,222",
"Fri, Nov 5, 1982",/boxscores/198211050GSW.html,,San Antonio Spurs,105,Golden State Warriors,104,Box Score,,"10,590",
"Fri, Nov 5, 1982",/boxscores/198211050KCK.html,,Dallas Mavericks,118,Kansas City Kings,113,Box Score,,"7,357",
"Fri, Nov 5, 1982",/boxscores/198211050MIL.html,,San Diego Clippers,99,Milwaukee Bucks,130,Box Score,,"10,685",
"Fri, Nov 5, 1982",/boxscores/198211050SEA.html,,New York Knicks,103,Seattle SuperSonics,112,Box Score,,"14,665",
"Sat, Nov 6, 1982",/boxscores/198211060ATL.html,,Detroit Pistons,93,Atlanta Hawks,95,Box Score,,"8,008",
"Sat, Nov 6, 1982",/boxscores/198211060CHI.html,,San Diego Clippers,124,Chicago Bulls,129,Box Score,,"11,162",
"Sat, Nov 6, 1982",/boxscores/198211060DAL.html,,Phoenix Suns,112,Dallas Mavericks,100,Box Score,,"12,780",
"Sat, Nov 6, 1982",/boxscores/198211060DEN.html,,Golden State Warriors,118,Denver Nuggets,127,Box Score,,"12,929",
"Sat, Nov 6, 1982",/boxscores/198211060PHI.html,,Boston Celtics,115,Philadelphia 76ers,119,Box Score,2OT,"18,482",
"Sat, Nov 6, 1982",/boxscores/198211060POR.html,,New York Knicks,102,Portland Trail Blazers,110,Box Score,,"12,666",
"Sat, Nov 6, 1982",/boxscores/198211060UTA.html,,Los Angeles Lakers,104,Utah Jazz,101,Box Score,,"11,869",
"Sat, Nov 6, 1982",/boxscores/198211060WSB.html,,Indiana Pacers,115,Washington Bullets,119,Box Score,OT,"7,821",
"Sun, Nov 7, 1982",/boxscores/198211070LAL.html,,Portland Trail Blazers,89,Los Angeles Lakers,103,Box Score,,"13,526",
"Sun, Nov 7, 1982",/boxscores/198211070MIL.html,,Seattle SuperSonics,102,Milwaukee Bucks,90,Box Score,,"10,975",
"Sun, Nov 7, 1982",/boxscores/198211070SAS.html,,Phoenix Suns,100,San Antonio Spurs,101,Box Score,,"9,448",
"Sun, Nov 7, 1982",/boxscores/198211070NJN.html,7:16p,Boston Celtics,102,New Jersey Nets,100,Box Score,,"15,550",
"Tue, Nov 9, 1982",/boxscores/198211090CHI.html,,Seattle SuperSonics,112,Chicago Bulls,111,Box Score,,"9,122",
"Tue, Nov 9, 1982",/boxscores/198211090DEN.html,,Atlanta Hawks,106,Denver Nuggets,105,Box Score,,"10,551",
"Tue, Nov 9, 1982",/boxscores/198211090HOU.html,,Phoenix Suns,119,Houston Rockets,91,Box Score,,"7,563",
"Tue, Nov 9, 1982",/boxscores/198211090IND.html,,San Diego Clippers,95,Indiana Pacers,100,Box Score,,"3,402",
"Tue, Nov 9, 1982",/boxscores/198211090LAL.html,,Kansas City Kings,117,Los Angeles Lakers,139,Box Score,,"12,402",
"Tue, Nov 9, 1982",/boxscores/198211090NYK.html,,New Jersey Nets,84,New York Knicks,82,Box Score,,"14,128",
"Tue, Nov 9, 1982",/boxscores/198211090POR.html,,Golden State Warriors,96,Portland Trail Blazers,111,Box Score,,"12,666",
"Tue, Nov 9, 1982",/boxscores/198211090SAS.html,,Utah Jazz,104,San Antonio Spurs,118,Box Score,,"10,780",
"Tue, Nov 9, 1982",/boxscores/198211090WSB.html,,Detroit Pistons,108,Washington Bullets,105,Box Score,,"6,595",
