,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Paul Arizin*,SF,27.0,PHW,72.0,0.0,2724.0,8.2,18.2,0.448,0.0,0.0,0.0,8.2,18.2,0.448,6.7,8.3,0.81,0.0,0.0,7.1,2.5,0.0,0.0,0.0,3.7,23.0
1,Jesse Arnelle,PF,22.0,FTW,31.0,0.0,409.0,4.6,14.4,0.317,0.0,0.0,0.0,4.6,14.4,0.317,3.8,6.1,0.623,0.0,0.0,15.0,1.6,0.0,0.0,0.0,5.3,12.9
2,Dick Atha,SG,24.0,NYK,25.0,0.0,288.0,4.5,11.0,0.409,0.0,0.0,0.0,4.5,11.0,0.409,2.6,3.4,0.778,0.0,0.0,5.2,4.0,0.0,0.0,0.0,4.9,11.6
3,Jim Baechtold,SF,28.0,NYK,70.0,0.0,1738.0,5.6,14.4,0.386,0.0,0.0,0.0,5.6,14.4,0.386,4.8,6.0,0.801,0.0,0.0,4.6,3.4,0.0,0.0,0.0,3.2,15.9
4,Ernie Barrett,SG,26.0,BOS,72.0,0.0,1451.0,5.1,13.2,0.388,0.0,0.0,0.0,5.1,13.2,0.388,2.3,2.9,0.788,0.0,0.0,6.0,4.3,0.0,0.0,0.0,4.6,12.6
5,Ernie Beck,SG,24.0,PHW,67.0,0.0,1007.0,4.9,12.5,0.387,0.0,0.0,0.0,4.9,12.5,0.387,2.7,3.8,0.717,0.0,0.0,7.0,2.8,0.0,0.0,0.0,3.1,12.4
6,Don Bielke,C,23.0,FTW,7.0,0.0,38.0,4.7,8.5,0.556,0.0,0.0,0.0,4.7,8.5,0.556,3.8,6.6,0.571,0.0,0.0,8.5,0.9,0.0,0.0,0.0,8.5,13.3
7,Carl Braun*,SG,28.0,NYK,72.0,0.0,2316.0,6.2,16.5,0.372,0.0,0.0,0.0,6.2,16.5,0.372,5.0,5.9,0.838,0.0,0.0,4.0,4.6,0.0,0.0,0.0,3.3,17.3
8,Frankie Brian,PG,32.0,FTW,37.0,0.0,680.0,4.1,13.9,0.297,0.0,0.0,0.0,4.1,13.9,0.297,3.8,4.7,0.818,0.0,0.0,4.7,3.9,0.0,0.0,0.0,3.3,12.1
9,Nat Clifton*,PF,33.0,NYK,64.0,0.0,1537.0,5.0,12.7,0.394,0.0,0.0,0.0,5.0,12.7,0.394,3.2,4.5,0.707,0.0,0.0,9.0,3.5,0.0,0.0,0.0,4.4,13.1
10,Jack Coleman,PF,31.0,TOT,75.0,0.0,2738.0,5.1,12.4,0.412,0.0,0.0,0.0,5.1,12.4,0.412,2.3,3.3,0.711,0.0,0.0,9.0,3.9,0.0,0.0,0.0,3.2,12.6
11,Jack Coleman,PF,31.0,ROC,34.0,0.0,1369.0,5.1,12.4,0.412,0.0,0.0,0.0,5.1,12.4,0.412,2.3,3.3,0.712,0.0,0.0,9.0,3.9,0.0,0.0,0.0,3.2,12.6
12,Jack Coleman,PF,31.0,STL,41.0,0.0,1369.0,5.1,12.4,0.412,0.0,0.0,0.0,5.1,12.4,0.412,2.3,3.3,0.71,0.0,0.0,9.0,3.9,0.0,0.0,0.0,3.2,12.6
13,Ed Conlin,SF,22.0,SYR,66.0,0.0,1423.0,5.3,14.5,0.368,0.0,0.0,0.0,5.3,14.5,0.368,3.1,4.5,0.68,0.0,0.0,8.2,3.7,0.0,0.0,0.0,3.1,13.7
14,Chuck Cooper*,SF,29.0,TOT,67.0,0.0,1144.0,3.2,9.7,0.328,0.0,0.0,0.0,3.2,9.7,0.328,3.1,4.2,0.752,0.0,0.0,7.5,2.8,0.0,0.0,0.0,4.4,9.5
15,Chuck Cooper*,F,29.0,STL,35.0,0.0,574.0,3.6,10.8,0.337,0.0,0.0,0.0,3.6,10.8,0.337,3.9,5.3,0.738,0.0,0.0,8.7,3.8,0.0,0.0,0.0,4.5,11.2
