,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Tariq Abdul-Wahad,SG,24.0,SAC,49.0,49.0,1205.0,7.3,16.9,0.435,0.2,0.9,0.286,7.1,16.0,0.443,3.9,5.6,0.691,3.0,4.7,7.7,2.1,2.1,0.7,2.9,5.0,18.8,0.0,98.0,104.0
1,Shareef Abdur-Rahim,SF,22.0,VAN,50.0,50.0,2021.0,10.3,23.8,0.432,0.3,1.0,0.306,10.0,22.9,0.438,9.8,11.7,0.841,3.0,6.9,10.0,4.6,1.8,1.5,5.0,3.7,30.7,0.0,104.0,107.0
2,Cory Alexander,PG,25.0,DEN,36.0,4.0,778.0,6.6,17.7,0.373,2.0,7.2,0.286,4.6,10.6,0.432,2.5,3.0,0.841,0.5,4.6,5.0,8.1,2.4,0.3,4.7,5.3,17.8,0.0,92.0,111.0
3,Ray Allen*,SG,23.0,MIL,50.0,50.0,1719.0,9.7,21.6,0.45,2.4,6.7,0.356,7.3,14.9,0.492,5.6,6.3,0.903,1.8,5.0,6.8,5.7,1.7,0.2,3.9,3.8,27.5,0.0,110.0,106.0
4,Peter Aluma,C,25.0,SAC,2.0,0.0,5.0,10.0,20.0,0.5,0.0,0.0,0.0,10.0,20.0,0.5,0.0,0.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,20.0,40.0,20.0,0.0,55.0,73.0
5,Derek Anderson,SG,24.0,CLE,38.0,13.0,978.0,7.1,17.8,0.398,1.2,3.9,0.304,5.9,13.9,0.424,7.8,9.4,0.836,1.1,5.1,6.2,8.2,2.7,0.2,4.7,4.1,23.2,0.0,101.0,102.0
6,Kenny Anderson,PG,28.0,BOS,34.0,33.0,1010.0,8.4,18.5,0.451,0.3,1.2,0.25,8.1,17.3,0.465,4.4,5.2,0.832,1.2,4.1,5.4,10.0,1.7,0.1,3.7,4.1,21.4,0.0,107.0,106.0
7,Nick Anderson,SF,31.0,ORL,47.0,39.0,1581.0,8.6,21.9,0.395,3.3,9.5,0.347,5.4,12.4,0.433,3.4,5.5,0.611,1.7,7.7,9.5,3.1,2.2,0.5,2.8,2.5,24.0,0.0,100.0,97.0
8,Shandon Anderson,SG,25.0,UTA,50.0,2.0,1072.0,8.3,18.7,0.446,0.7,2.1,0.341,7.6,16.6,0.46,4.6,6.4,0.712,2.5,4.3,6.8,2.9,2.0,0.5,3.4,4.6,22.0,0.0,99.0,101.0
9,Chris Anstey,C,24.0,DAL,41.0,4.0,470.0,5.7,15.9,0.36,0.0,0.8,0.0,5.7,15.1,0.379,3.9,5.5,0.708,4.0,7.1,11.1,3.1,2.1,1.5,3.0,11.2,15.4,0.0,91.0,103.0
10,Greg Anthony,PG,31.0,POR,50.0,0.0,806.0,6.9,16.8,0.414,3.3,8.3,0.392,3.7,8.4,0.437,4.1,5.9,0.697,0.9,3.3,4.2,6.7,4.4,0.2,3.7,5.0,21.3,0.0,107.0,96.0
11,B.J. Armstrong,PG,31.0,TOT,32.0,1.0,358.0,6.0,13.2,0.455,1.1,2.3,0.467,5.0,11.0,0.452,2.7,3.2,0.857,0.3,5.6,5.9,9.2,1.8,0.0,3.8,4.7,15.8,0.0,104.0,102.0
12,B.J. Armstrong,PG,31.0,CHH,10.0,1.0,178.0,6.3,12.9,0.488,1.8,2.4,0.75,4.5,10.5,0.429,2.7,3.0,0.9,0.3,4.5,4.8,8.1,0.9,0.0,3.0,4.8,17.1,0.0,113.0,107.0
13,B.J. Armstrong,PG,31.0,ORL,22.0,0.0,180.0,5.7,13.5,0.422,0.3,2.1,0.143,5.4,11.4,0.474,2.7,3.3,0.818,0.3,6.6,6.9,10.2,2.7,0.0,4.5,4.5,14.4,0.0,96.0,97.0
14,Darrell Armstrong,PG,30.0,ORL,50.0,15.0,1502.0,8.3,18.8,0.441,2.5,6.8,0.365,5.8,12.0,0.483,5.8,6.4,0.904,1.9,4.6,6.5,12.1,3.9,0.1,5.7,3.2,24.8,0.0,110.0,96.0
15,Keith Askins,SF,31.0,MIA,33.0,13.0,415.0,2.7,8.5,0.323,1.1,4.0,0.276,1.6,4.5,0.364,0.7,1.1,0.625,1.4,4.6,6.0,1.4,2.3,0.4,1.8,7.9,7.2,0.0,82.0,100.0
16,Stacey Augmon,SF,30.0,POR,48.0,21.0,874.0,4.8,10.7,0.448,0.0,0.1,0.0,4.8,10.6,0.453,3.2,4.7,0.684,2.9,4.8,7.7,3.6,3.5,1.1,1.8,5.0,12.8,0.0,108.0,96.0
17,Isaac Austin,C,29.0,ORL,49.0,49.0,1259.0,7.9,19.4,0.408,0.1,0.3,0.286,7.9,19.1,0.41,4.5,6.7,0.669,3.6,6.6,10.2,3.8,2.0,1.5,4.9,5.4,20.5,0.0,89.0,97.0
18,Anthony Avent,PF,29.0,UTA,5.0,0.0,44.0,5.0,16.3,0.308,0.0,0.0,0.0,5.0,16.3,0.308,1.3,2.5,0.5,10.0,5.0,15.1,1.3,2.5,0.0,8.8,7.5,11.3,0.0,65.0,99.0
19,Thurl Bailey,PF,37.0,UTA,43.0,0.0,543.0,7.9,17.8,0.446,0.0,0.2,0.0,7.9,17.6,0.451,2.5,3.5,0.735,3.7,5.9,9.6,2.6,0.9,2.8,2.7,7.9,18.4,0.0,97.0,100.0
20,Toby Bailey,SG,23.0,PHO,27.0,10.0,249.0,7.3,18.4,0.395,0.2,1.1,0.2,7.1,17.3,0.407,1.9,2.8,0.692,5.1,6.4,11.6,2.8,1.9,0.4,2.4,5.1,16.7,0.0,94.0,104.0
21,LaMark Baker,PG,29.0,TOR,1.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,114.0
23,Vin Baker,PF,27.0,SEA,34.0,31.0,1162.0,9.1,20.1,0.453,0.0,0.1,0.0,9.1,20.0,0.456,3.3,7.4,0.45,4.0,5.8,9.7,2.6,1.5,1.6,3.5,5.6,21.6,0.0,93.0,107.0
24,Charles Barkley*,PF,35.0,HOU,42.0,40.0,1526.0,8.5,17.8,0.478,0.1,0.9,0.16,8.4,16.9,0.495,6.8,9.5,0.719,5.9,12.4,18.3,6.8,1.5,0.5,3.5,3.2,23.9,0.0,115.0,100.0
25,Dana Barros,PG,31.0,BOS,50.0,16.0,1156.0,7.6,16.8,0.453,2.9,7.3,0.4,4.7,9.6,0.493,2.9,3.3,0.877,0.7,4.0,4.8,9.4,2.4,0.2,4.0,2.9,21.1,0.0,111.0,104.0
26,Brent Barry,SG,27.0,CHI,37.0,30.0,1181.0,6.5,16.4,0.396,2.4,7.9,0.302,4.1,8.5,0.484,3.6,4.7,0.772,1.8,4.8,6.6,5.3,1.9,0.5,3.3,4.5,19.0,0.0,99.0,104.0
27,Drew Barry,SG,25.0,SEA,17.0,0.0,183.0,2.9,9.4,0.313,2.3,7.0,0.333,0.6,2.3,0.25,2.6,3.8,0.692,0.9,5.0,5.9,8.5,2.0,0.3,3.5,7.0,10.8,0.0,101.0,107.0
28,Jon Barry,SG,29.0,SAC,43.0,0.0,736.0,4.0,9.4,0.428,1.6,5.4,0.304,2.4,4.0,0.593,4.8,5.7,0.845,1.7,4.8,6.5,7.6,3.6,0.3,3.2,4.1,14.5,0.0,117.0,101.0
29,Tony Battie,C,22.0,BOS,50.0,15.0,1121.0,6.9,13.2,0.519,0.0,0.1,0.0,6.9,13.1,0.525,1.9,2.9,0.672,4.5,9.5,14.0,2.5,1.4,3.3,2.1,7.4,15.7,0.0,110.0,99.0
30,Corey Beck,PG,27.0,TOT,24.0,0.0,180.0,5.4,11.7,0.462,0.3,0.3,1.0,5.1,11.4,0.447,2.4,4.5,0.533,1.8,6.6,8.4,6.0,2.7,0.6,3.9,7.8,13.5,0.0,92.0,101.0
31,Corey Beck,PG,27.0,DET,8.0,0.0,30.0,7.4,14.8,0.5,0.0,0.0,0.0,7.4,14.8,0.5,3.7,3.7,1.0,5.6,3.7,9.3,0.0,3.7,0.0,3.7,9.3,18.5,0.0,103.0,100.0
32,Corey Beck,PG,27.0,CHH,16.0,0.0,150.0,5.0,11.1,0.452,0.4,0.4,1.0,4.6,10.7,0.433,2.1,4.6,0.462,1.1,7.1,8.2,7.1,2.5,0.7,3.9,7.5,12.5,0.0,90.0,101.0
