,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHI,Markelle Fultz,Washington,3.0,94.0,2406.0,971.0,317.0,430.0,0.45,0.244,0.677,25.6,10.3,3.4,4.6,2.8,0.057,-2.2,-0.1
2,2.0,LAL,Lonzo Ball,UCLA,3.0,153.0,4949.0,1654.0,945.0,1007.0,0.391,0.341,0.486,32.3,10.8,6.2,6.6,5.9,0.057,0.6,3.2
3,3.0,BOS,Jayson Tatum,Duke,3.0,215.0,6829.0,3678.0,1279.0,462.0,0.457,0.399,0.83,31.8,17.1,5.9,2.1,18.1,0.127,1.5,6.0
4,4.0,PHO,Josh Jackson,Kansas,3.0,171.0,4241.0,2062.0,749.0,324.0,0.415,0.298,0.655,24.8,12.1,4.4,1.9,-2.0,-0.023,-4.1,-2.2
5,5.0,SAC,De'Aaron Fox,Kentucky,3.0,197.0,5939.0,3121.0,680.0,1199.0,0.449,0.336,0.712,30.1,15.8,3.5,6.1,8.2,0.066,-0.4,2.4
6,6.0,ORL,Jonathan Isaac,Florida State,3.0,134.0,3481.0,1249.0,732.0,142.0,0.432,0.328,0.794,26.0,9.3,5.5,1.1,6.5,0.089,0.1,1.8
7,7.0,MIN,Lauri Markkanen,Arizona,3.0,167.0,5118.0,2710.0,1280.0,224.0,0.431,0.356,0.849,30.6,16.2,7.7,1.3,8.6,0.08,-0.3,2.2
8,8.0,NYK,Frank Ntilikina,,3.0,174.0,3716.0,1024.0,376.0,530.0,0.365,0.306,0.779,21.4,5.9,2.2,3.0,-1.1,-0.014,-4.7,-2.6
9,9.0,DAL,Dennis Smith,NC State,3.0,156.0,4094.0,1957.0,493.0,708.0,0.4,0.314,0.647,26.2,12.5,3.2,4.5,-1.6,-0.018,-2.7,-0.8
10,10.0,SAC,Zach Collins,Gonzaga,3.0,146.0,2487.0,831.0,557.0,129.0,0.442,0.324,0.73,17.0,5.7,3.8,0.9,3.7,0.071,-2.5,-0.3
11,11.0,CHO,Malik Monk,Kentucky,3.0,191.0,3281.0,1638.0,360.0,322.0,0.395,0.322,0.85,17.2,8.6,1.9,1.7,1.0,0.015,-2.9,-0.8
12,12.0,DET,Luke Kennard,Duke,3.0,164.0,3822.0,1613.0,457.0,353.0,0.441,0.402,0.863,23.3,9.8,2.8,2.2,7.1,0.089,-0.8,1.2
13,13.0,DEN,Donovan Mitchell,Louisville,3.0,216.0,7300.0,4923.0,876.0,871.0,0.441,0.355,0.82,33.8,22.8,4.1,4.0,15.4,0.101,1.5,6.5
14,14.0,MIA,Bam Adebayo,Kentucky,3.0,213.0,5412.0,2202.0,1628.0,598.0,0.557,0.114,0.711,25.4,10.3,7.6,2.8,18.8,0.166,2.0,5.4
15,15.0,POR,Justin Jackson,UNC,3.0,203.0,3973.0,1342.0,531.0,206.0,0.433,0.324,0.781,19.6,6.6,2.6,1.0,4.8,0.058,-2.8,-0.8
