,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26.0,OKC,58.0,58.0,27.0,4.5,7.6,0.591,0.0,0.1,0.333,4.5,7.6,0.593,0.593,1.9,3.2,0.59,3.4,6.0,9.4,2.4,0.9,1.1,1.5,1.9,10.9
1,Bam Adebayo,PF,22.0,MIA,64.0,64.0,34.4,6.2,11.0,0.565,0.0,0.2,0.077,6.2,10.8,0.575,0.566,3.7,5.3,0.691,2.5,8.0,10.6,5.0,1.2,1.3,2.8,2.5,16.1
2,LaMarcus Aldridge,C,34.0,SAS,52.0,52.0,33.0,7.3,14.8,0.495,1.2,2.9,0.392,6.2,11.9,0.52,0.534,3.0,3.6,0.829,2.0,5.5,7.5,2.4,0.6,1.6,1.4,2.4,18.8
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,12.2,1.9,5.5,0.339,1.0,2.9,0.342,0.9,2.7,0.336,0.427,0.4,0.7,0.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,16.6,2.6,5.9,0.449,1.1,3.0,0.363,1.5,2.8,0.541,0.543,1.0,1.2,0.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
5,Jarrett Allen,C,21.0,BRK,63.0,58.0,25.8,4.2,6.5,0.647,0.0,0.1,0.0,4.2,6.4,0.655,0.647,2.3,3.7,0.627,3.0,6.5,9.5,1.3,0.6,1.3,1.1,2.3,10.8
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,5.7,0.3,2.0,0.167,0.0,1.0,0.0,0.3,1.0,0.333,0.167,0.3,0.7,0.5,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
9,Kyle Anderson,PF,26.0,MEM,58.0,19.0,19.2,2.4,4.8,0.495,0.3,1.1,0.258,2.1,3.7,0.562,0.523,0.7,1.1,0.645,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7
10,Ryan Anderson,PF,31.0,HOU,2.0,0.0,7.0,1.0,3.5,0.286,0.5,2.5,0.2,0.5,1.0,0.5,0.357,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
11,Giannis Antetokounmpo,PF,25.0,MIL,57.0,57.0,30.9,10.9,20.0,0.547,1.5,4.8,0.306,9.5,15.2,0.622,0.583,6.3,10.0,0.633,2.3,11.5,13.7,5.8,1.0,1.0,3.7,3.0,29.6
12,Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,SF,27.0,MIL,18.0,2.0,5.2,1.1,2.0,0.528,0.0,0.4,0.0,1.1,1.6,0.655,0.528,0.4,0.8,0.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
14,Carmelo Anthony,PF,35.0,POR,49.0,49.0,32.5,5.7,13.5,0.422,1.4,3.9,0.366,4.3,9.6,0.445,0.475,2.3,2.7,0.848,1.2,5.1,6.3,1.5,0.8,0.4,1.8,2.8,15.1
15,OG Anunoby,SF,22.0,TOR,63.0,62.0,30.1,4.2,8.4,0.507,1.3,3.4,0.381,2.9,5.0,0.593,0.584,0.9,1.4,0.686,1.2,4.2,5.4,1.6,1.4,0.7,1.2,2.5,10.7
16,Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
17,Trevor Ariza,SF,34.0,TOT,52.0,20.0,28.0,2.6,6.0,0.433,1.4,3.8,0.362,1.2,2.2,0.558,0.548,1.1,1.3,0.843,0.6,4.0,4.6,1.8,1.3,0.3,1.0,2.1,7.7
18,Trevor Ariza,SF,34.0,SAC,32.0,0.0,24.7,2.0,5.2,0.388,1.3,3.8,0.352,0.7,1.3,0.488,0.518,0.7,0.8,0.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
19,Trevor Ariza,SF,34.0,POR,20.0,20.0,33.3,3.6,7.4,0.483,1.5,3.9,0.377,2.1,3.5,0.6,0.582,1.9,2.2,0.884,0.6,4.1,4.7,2.1,1.7,0.4,1.3,2.3,10.5
20,D.J. Augustin,PG,32.0,ORL,48.0,6.0,24.8,3.1,8.0,0.392,1.2,3.5,0.341,1.9,4.5,0.433,0.468,2.8,3.2,0.882,0.4,1.9,2.2,4.6,0.6,0.0,1.4,1.0,10.3
21,Deandre Ayton,C,21.0,PHO,30.0,25.0,33.2,8.5,15.5,0.548,0.0,0.1,0.0,8.5,15.4,0.552,0.548,2.0,2.6,0.769,4.1,7.9,12.0,1.9,0.7,1.7,2.4,3.2,19.0
23,Dwayne Bacon,SG,24.0,CHO,39.0,11.0,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
24,Marvin Bagley,PF,20.0,SAC,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
25,Lonzo Ball,PG,22.0,NOP,56.0,47.0,32.4,4.6,11.2,0.412,2.5,6.5,0.383,2.1,4.7,0.453,0.523,0.7,1.2,0.567,1.1,5.1,6.2,7.0,1.4,0.5,3.1,2.0,12.4
26,Mo Bamba,C,21.0,ORL,59.0,0.0,14.5,2.2,4.7,0.468,0.6,1.7,0.353,1.6,3.0,0.534,0.532,0.5,0.8,0.689,1.6,3.3,4.9,0.7,0.3,1.4,0.7,1.9,5.5
27,J.J. Barea,PG,35.0,DAL,25.0,4.0,15.0,2.9,7.1,0.412,1.2,3.0,0.382,1.8,4.0,0.436,0.494,0.7,0.7,0.944,0.4,1.5,1.9,3.8,0.2,0.1,1.4,0.9,7.7
28,Harrison Barnes,PF,27.0,SAC,64.0,64.0,34.9,5.1,11.1,0.459,1.5,3.8,0.383,3.6,7.3,0.498,0.524,3.1,3.8,0.803,1.0,3.8,4.8,2.4,0.6,0.2,1.3,1.3,14.7
29,RJ Barrett,SG,19.0,NYK,54.0,53.0,30.3,5.1,12.9,0.398,1.1,3.5,0.321,4.0,9.5,0.427,0.441,2.7,4.5,0.602,0.9,4.1,5.0,2.6,0.9,0.3,2.2,2.2,14.1
30,Will Barton,SF,29.0,DEN,57.0,57.0,32.9,5.7,12.6,0.448,1.8,4.9,0.373,3.8,7.8,0.495,0.52,1.8,2.3,0.771,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,14.9
31,Keita Bates-Diop,SF,24.0,TOT,39.0,0.0,17.1,2.3,5.3,0.428,0.8,2.4,0.33,1.5,2.9,0.509,0.502,1.3,1.8,0.71,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1.0,6.6
32,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,17.5,2.4,5.6,0.422,0.8,2.5,0.33,1.5,3.0,0.5,0.498,1.2,1.8,0.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
33,Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,9.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.5,2.0,0.75,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,3.5
34,Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.346,0.6,2.2,0.286,0.6,1.5,0.438,0.432,0.4,0.5,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
35,Aron Baynes,C,33.0,PHO,41.0,27.0,22.0,4.4,9.0,0.49,1.4,3.9,0.36,3.0,5.0,0.592,0.569,1.4,1.8,0.747,1.7,4.0,5.7,1.6,0.2,0.6,1.2,3.4,11.6
36,Kent Bazemore,SF-SG,30.0,TOT,64.0,21.0,25.1,2.9,7.7,0.374,1.2,3.6,0.342,1.7,4.2,0.401,0.453,1.7,2.2,0.768,0.4,4.0,4.3,1.3,1.1,0.6,1.3,2.8,8.7
37,Kent Bazemore,SF,30.0,POR,43.0,21.0,25.8,2.6,7.6,0.347,1.3,4.0,0.327,1.3,3.6,0.368,0.433,1.3,1.7,0.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
38,Kent Bazemore,SG,30.0,SAC,21.0,0.0,23.5,3.4,8.0,0.426,1.0,2.7,0.386,2.4,5.3,0.446,0.491,2.4,3.3,0.729,0.5,4.5,5.0,1.1,1.2,0.4,1.2,2.9,10.3
39,Darius Bazley,PF,19.0,OKC,53.0,8.0,17.2,1.7,4.3,0.383,0.6,1.9,0.3,1.1,2.5,0.446,0.448,0.6,0.9,0.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5
40,Bradley Beal,SG,26.0,WAS,56.0,56.0,36.0,10.4,22.8,0.455,3.0,8.4,0.352,7.4,14.4,0.515,0.52,6.6,7.9,0.842,0.9,3.3,4.3,6.1,1.2,0.4,3.4,2.2,30.4
41,Malik Beasley,SG,23.0,TOT,54.0,13.0,21.8,4.2,9.7,0.43,2.0,5.0,0.391,2.2,4.7,0.472,0.532,1.0,1.2,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.3
42,Malik Beasley,SG,23.0,DEN,41.0,0.0,18.2,2.9,7.3,0.389,1.4,3.9,0.36,1.4,3.4,0.421,0.485,0.8,0.9,0.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
43,Malik Beasley,SG,23.0,MIN,13.0,13.0,33.1,8.3,17.1,0.486,3.7,8.5,0.436,4.6,8.6,0.536,0.595,1.6,2.2,0.75,0.7,4.5,5.2,2.0,0.6,0.2,1.5,2.0,21.9
44,Marco Belinelli,SG,33.0,SAS,51.0,0.0,14.8,2.0,5.2,0.38,1.0,2.9,0.356,0.9,2.2,0.412,0.481,0.6,0.8,0.78,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,5.6
45,Jordan Bell,C-PF,25.0,TOT,29.0,0.0,8.8,1.2,2.3,0.522,0.1,0.4,0.333,1.1,1.9,0.564,0.552,0.7,1.1,0.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
46,Jordan Bell,C,25.0,MIN,27.0,0.0,8.7,1.2,2.2,0.533,0.1,0.3,0.222,1.1,1.9,0.588,0.55,0.6,1.1,0.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1
47,Jordan Bell,PF,25.0,MEM,2.0,0.0,10.5,1.5,3.5,0.429,1.0,1.5,0.667,0.5,2.0,0.25,0.571,1.0,1.0,1.0,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0
48,DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
49,Dragan Bender,SF,22.0,TOT,15.0,3.0,17.3,2.2,5.3,0.413,0.9,2.5,0.342,1.3,2.8,0.476,0.494,0.3,0.6,0.556,1.0,3.4,4.4,1.7,0.3,0.6,1.2,2.6,5.6
50,Dragan Bender,SF,22.0,MIL,7.0,0.0,13.0,1.4,3.0,0.476,0.6,1.3,0.444,0.9,1.7,0.5,0.571,0.3,0.4,0.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
51,Dragan Bender,SF,22.0,GSW,8.0,3.0,21.1,2.9,7.4,0.39,1.1,3.6,0.31,1.8,3.8,0.467,0.466,0.4,0.8,0.5,1.9,3.9,5.8,2.0,0.5,0.5,1.6,2.9,7.3
52,Davis Bertans,PF,27.0,WAS,53.0,4.0,29.3,4.9,11.3,0.436,3.7,8.7,0.425,1.2,2.6,0.471,0.6,1.9,2.2,0.857,0.7,3.9,4.6,1.7,0.7,0.6,1.1,2.5,15.5
54,Patrick Beverley,PG,31.0,LAC,47.0,47.0,27.2,2.9,6.7,0.425,1.5,4.1,0.368,1.3,2.6,0.516,0.538,0.6,0.9,0.65,1.2,4.3,5.4,3.8,1.1,0.5,1.3,3.1,7.8
55,Khem Birch,C,27.0,ORL,40.0,24.0,19.4,1.4,2.9,0.487,0.0,0.0,0.0,1.4,2.9,0.491,0.487,1.0,1.7,0.612,1.8,2.8,4.5,0.9,0.4,0.5,0.6,1.8,3.8
56,Goga Bitadze,C,20.0,IND,49.0,2.0,8.4,1.2,2.6,0.473,0.1,0.7,0.167,1.1,1.9,0.591,0.496,0.5,0.7,0.727,0.4,1.5,2.0,0.4,0.1,0.7,0.5,1.2,3.1
57,Bismack Biyombo,C,27.0,CHO,52.0,29.0,19.6,2.9,5.3,0.543,0.0,0.0,0.0,2.9,5.3,0.543,0.543,1.8,2.9,0.603,2.3,3.6,5.9,1.0,0.2,0.9,0.9,2.2,7.5
58,Nemanja Bjelica,PF,31.0,SAC,64.0,61.0,28.5,4.5,9.4,0.475,2.0,4.6,0.424,2.5,4.8,0.524,0.579,0.9,1.1,0.822,1.7,4.8,6.4,2.8,0.8,0.5,1.4,3.0,11.9
59,Eric Bledsoe,PG,30.0,MIL,56.0,56.0,27.2,5.7,11.8,0.482,1.3,3.6,0.348,4.4,8.2,0.54,0.535,2.8,3.4,0.813,0.7,3.9,4.6,5.4,0.9,0.4,2.5,2.1,15.4
60,Bogdan Bogdanovic,SG,27.0,SAC,53.0,20.0,28.5,5.2,12.1,0.433,2.6,7.2,0.361,2.6,4.9,0.541,0.541,1.4,2.0,0.724,0.3,2.9,3.2,3.2,1.0,0.3,1.7,2.2,14.5
61,Bojan Bogdanovic,SF,30.0,UTA,63.0,63.0,33.1,6.6,14.8,0.447,3.0,7.3,0.414,3.6,7.6,0.479,0.548,4.0,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
62,Jonah Bolden,PF,24.0,TOT,7.0,0.0,6.7,0.6,1.6,0.364,0.0,0.6,0.0,0.6,1.0,0.571,0.364,0.3,0.6,0.5,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4
63,Jonah Bolden,PF,24.0,PHI,4.0,0.0,3.5,0.5,0.8,0.667,0.0,0.3,0.0,0.5,0.5,1.0,0.667,0.0,0.5,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0
64,Jonah Bolden,PF,24.0,PHO,3.0,0.0,11.0,0.7,2.7,0.25,0.0,1.0,0.0,0.7,1.7,0.4,0.25,0.7,0.7,1.0,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0
