b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 18, 1977",/boxscores/197710180DET.html,New Jersey Nets,93,Detroit Pistons,110,Box Score,,,
"Tue, Oct 18, 1977",/boxscores/197710180CLE.html,Chicago Bulls,91,Cleveland Cavaliers,88,Box Score,,,
"Tue, Oct 18, 1977",/boxscores/197710180PHO.html,Golden State Warriors,83,Phoenix Suns,100,Box Score,,,
"Tue, Oct 18, 1977",/boxscores/197710180MIL.html,Los Angeles Lakers,112,Milwaukee Bucks,117,Box Score,,,
"Tue, Oct 18, 1977",/boxscores/197710180NYK.html,Kansas City Kings,113,New York Knicks,120,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190BUF.html,Kansas City Kings,108,Buffalo Braves,112,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190DEN.html,Milwaukee Bucks,115,Denver Nuggets,133,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190GSW.html,Seattle SuperSonics,84,Golden State Warriors,116,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190HOU.html,Chicago Bulls,107,Houston Rockets,103,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190IND.html,Los Angeles Lakers,133,Indiana Pacers,120,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190PHI.html,Detroit Pistons,96,Philadelphia 76ers,113,Box Score,,,
"Wed, Oct 19, 1977",/boxscores/197710190SAS.html,Boston Celtics,109,San Antonio Spurs,114,Box Score,,,
"Thu, Oct 20, 1977",/boxscores/197710200NOJ.html,Cleveland Cavaliers,107,New Orleans Jazz,104,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210NJN.html,New Orleans Jazz,111,New Jersey Nets,103,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210WSB.html,Detroit Pistons,109,Washington Bullets,117,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210SEA.html,Portland Trail Blazers,106,Seattle SuperSonics,99,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210KCK.html,Houston Rockets,94,Kansas City Kings,95,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210GSW.html,San Antonio Spurs,117,Golden State Warriors,122,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210DEN.html,Los Angeles Lakers,101,Denver Nuggets,106,Box Score,,,
"Fri, Oct 21, 1977",/boxscores/197710210CHI.html,Indiana Pacers,119,Chicago Bulls,122,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220ATL.html,Cleveland Cavaliers,101,Atlanta Hawks,107,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220BUF.html,New Jersey Nets,96,Buffalo Braves,101,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220DET.html,Denver Nuggets,106,Detroit Pistons,126,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220HOU.html,Boston Celtics,98,Houston Rockets,110,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220IND.html,Kansas City Kings,101,Indiana Pacers,106,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220MIL.html,Chicago Bulls,95,Milwaukee Bucks,113,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220NYK.html,Washington Bullets,115,New York Knicks,141,Box Score,,,
"Sat, Oct 22, 1977",/boxscores/197710220PHI.html,New Orleans Jazz,104,Philadelphia 76ers,103,Box Score,OT,,
"Sat, Oct 22, 1977",/boxscores/197710220POR.html,San Antonio Spurs,115,Portland Trail Blazers,130,Box Score,,,
"Sun, Oct 23, 1977",/boxscores/197710230LAL.html,Phoenix Suns,104,Los Angeles Lakers,101,Box Score,,,
"Sun, Oct 23, 1977",/boxscores/197710230SEA.html,San Antonio Spurs,112,Seattle SuperSonics,94,Box Score,,,
"Mon, Oct 24, 1977",/boxscores/197710240DET.html,Boston Celtics,85,Detroit Pistons,100,Box Score,,,
"Tue, Oct 25, 1977",/boxscores/197710250CHI.html,Golden State Warriors,105,Chicago Bulls,98,Box Score,,,
"Tue, Oct 25, 1977",/boxscores/197710250IND.html,Denver Nuggets,104,Indiana Pacers,129,Box Score,,,
"Tue, Oct 25, 1977",/boxscores/197710250LAL.html,San Antonio Spurs,107,Los Angeles Lakers,109,Box Score,,,
"Tue, Oct 25, 1977",/boxscores/197710250NYK.html,Cleveland Cavaliers,117,New York Knicks,112,Box Score,OT,,
"Tue, Oct 25, 1977",/boxscores/197710250PHI.html,Kansas City Kings,104,Philadelphia 76ers,112,Box Score,,,
