b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 29, 2013",/boxscores/201310290IND.html,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,"18,165",
"Tue, Oct 29, 2013",/boxscores/201310290MIA.html,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,"19,964",
"Tue, Oct 29, 2013",/boxscores/201310290LAL.html,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,"18,997",
"Wed, Oct 30, 2013",/boxscores/201310300CLE.html,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,"20,562",
"Wed, Oct 30, 2013",/boxscores/201310300TOR.html,7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,"20,155",
"Wed, Oct 30, 2013",/boxscores/201310300PHI.html,7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,"19,523",
"Wed, Oct 30, 2013",/boxscores/201310300DET.html,7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,"19,258",
"Wed, Oct 30, 2013",/boxscores/201310300NYK.html,7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,"19,812",
"Wed, Oct 30, 2013",/boxscores/201310300NOP.html,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,"17,803",
"Wed, Oct 30, 2013",/boxscores/201310300MIN.html,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,"17,988",
"Wed, Oct 30, 2013",/boxscores/201310300HOU.html,8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,"18,083",
"Wed, Oct 30, 2013",/boxscores/201310300SAS.html,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,"18,581",
"Wed, Oct 30, 2013",/boxscores/201310300DAL.html,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,"19,834",
"Wed, Oct 30, 2013",/boxscores/201310300UTA.html,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,"19,911",
"Wed, Oct 30, 2013",/boxscores/201310300PHO.html,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,"17,208",
"Wed, Oct 30, 2013",/boxscores/201310300SAC.html,10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,"17,317",
"Wed, Oct 30, 2013",/boxscores/201310300GSW.html,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,"19,596",
"Thu, Oct 31, 2013",/boxscores/201310310CHI.html,8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,"22,022",
"Thu, Oct 31, 2013",/boxscores/201310310LAC.html,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,"19,060",
"Fri, Nov 1, 2013",/boxscores/201311010CHA.html,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,"18,017",
"Fri, Nov 1, 2013",/boxscores/201311010ORL.html,7:00p,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,"18,846",
"Fri, Nov 1, 2013",/boxscores/201311010WAS.html,7:00p,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,"17,160",
"Fri, Nov 1, 2013",/boxscores/201311010ATL.html,7:30p,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,"18,118",
"Fri, Nov 1, 2013",/boxscores/201311010BOS.html,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,"18,624",
"Fri, Nov 1, 2013",/boxscores/201311010BRK.html,8:00p,Miami Heat,100,Brooklyn Nets,101,Box Score,,"17,732",
"Fri, Nov 1, 2013",/boxscores/201311010HOU.html,8:00p,Dallas Mavericks,105,Houston Rockets,113,Box Score,,"18,142",
"Fri, Nov 1, 2013",/boxscores/201311010MEM.html,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,"18,119",
"Fri, Nov 1, 2013",/boxscores/201311010MIN.html,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,"17,433",
"Fri, Nov 1, 2013",/boxscores/201311010DEN.html,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,"19,155",
"Fri, Nov 1, 2013",/boxscores/201311010PHO.html,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,"14,662",
"Fri, Nov 1, 2013",/boxscores/201311010SAC.html,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,"17,317",
"Fri, Nov 1, 2013",/boxscores/201311010LAL.html,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,"18,997",
"Sat, Nov 2, 2013",/boxscores/201311020IND.html,7:00p,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,"16,242",
"Sat, Nov 2, 2013",/boxscores/201311020PHI.html,7:30p,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,"15,782",
"Sat, Nov 2, 2013",/boxscores/201311020NOP.html,8:00p,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,"15,232",
"Sat, Nov 2, 2013",/boxscores/201311020DAL.html,8:30p,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,"20,262",
"Sat, Nov 2, 2013",/boxscores/201311020MIL.html,8:30p,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,"16,046",
