,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Milwaukee Bucks,53.0,9.0,0.855,—,119.1,106.7,11.26
1,Toronto Raptors,44.0,18.0,0.71,9.0,113.1,106.7,5.76
2,Boston Celtics,42.0,19.0,0.689,10.5,113.4,106.9,5.85
3,Miami Heat,40.0,22.0,0.645,13.0,112.7,109.2,2.94
4,Philadelphia 76ers,38.0,25.0,0.603,15.5,109.3,107.2,2.25
5,Indiana Pacers,37.0,25.0,0.597,16.0,109.3,107.4,1.47
6,Brooklyn Nets,27.0,34.0,0.443,25.5,110.4,111.5,-1.67
7,Orlando Magic,27.0,35.0,0.435,26.0,105.4,107.1,-1.47
8,Washington Wizards,22.0,39.0,0.361,30.5,115.9,120.2,-4.96
9,Charlotte Hornets,21.0,41.0,0.339,32.0,102.1,109.5,-7.43
10,Chicago Bulls,21.0,41.0,0.339,32.0,106.9,110.1,-3.82
11,Detroit Pistons,20.0,43.0,0.317,33.5,107.7,110.8,-3.9
12,New York Knicks,19.0,43.0,0.306,34.0,105.4,112.0,-6.57
13,Atlanta Hawks,19.0,44.0,0.302,34.5,111.1,119.2,-7.38
14,Cleveland Cavaliers,17.0,45.0,0.274,36.0,106.6,114.9,-7.87
15,Los Angeles Lakers,47.0,13.0,0.783,—,114.6,107.1,7.57
16,Los Angeles Clippers,43.0,19.0,0.694,5.0,116.2,109.7,6.75
17,Denver Nuggets,42.0,20.0,0.677,6.0,110.8,107.6,3.08
18,Houston Rockets,39.0,22.0,0.639,8.5,118.7,114.3,4.5
19,Utah Jazz,39.0,22.0,0.639,8.5,111.5,108.2,3.2
20,Oklahoma City Thunder,38.0,24.0,0.613,10.0,110.6,108.5,2.52
21,Dallas Mavericks,38.0,25.0,0.603,10.5,116.6,110.6,5.7
22,Memphis Grizzlies,31.0,31.0,0.5,17.0,112.8,113.7,-0.88
23,Portland Trail Blazers,28.0,35.0,0.444,20.5,113.5,115.1,-1.03
24,Sacramento Kings,27.0,35.0,0.435,21.0,108.7,110.8,-1.65
25,San Antonio Spurs,26.0,34.0,0.433,21.0,112.7,114.3,-1.02
26,New Orleans Pelicans,26.0,36.0,0.419,22.0,116.2,117.4,0.03
27,Phoenix Suns,24.0,38.0,0.387,24.0,112.0,113.5,-1.28
28,Minnesota Timberwolves,19.0,42.0,0.311,28.5,113.3,117.3,-3.49
29,Golden State Warriors,14.0,49.0,0.222,34.5,106.1,114.8,-8.02
