,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Miami Heat,52.0,30.0,0.634,—,94.4,91.3,2.75
1,New York Knicks,50.0,32.0,0.61,2.0,92.1,90.7,1.3
2,Philadelphia 76ers,49.0,33.0,0.598,3.0,94.8,93.4,1.02
3,Orlando Magic,41.0,41.0,0.5,11.0,100.1,99.4,0.43
4,Boston Celtics,35.0,47.0,0.427,17.0,99.3,100.1,-1.0
5,New Jersey Nets,31.0,51.0,0.378,21.0,98.0,99.0,-1.18
6,Washington Wizards,29.0,53.0,0.354,23.0,96.6,99.9,-3.47
7,Indiana Pacers,56.0,26.0,0.683,—,101.3,96.7,4.15
8,Charlotte Hornets,49.0,33.0,0.598,7.0,98.4,95.8,2.33
9,Toronto Raptors,45.0,37.0,0.549,11.0,97.2,97.3,-0.46
10,Detroit Pistons,42.0,40.0,0.512,14.0,103.5,102.0,1.13
11,Milwaukee Bucks,42.0,40.0,0.512,14.0,101.2,101.0,-0.06
12,Cleveland Cavaliers,32.0,50.0,0.39,24.0,97.0,100.5,-3.64
13,Atlanta Hawks,28.0,54.0,0.341,28.0,94.3,99.7,-5.41
14,Chicago Bulls,17.0,65.0,0.207,39.0,84.8,94.2,-9.23
15,Utah Jazz,55.0,27.0,0.671,—,96.5,92.0,4.52
16,San Antonio Spurs,53.0,29.0,0.646,2.0,96.2,90.2,5.92
17,Minnesota Timberwolves,50.0,32.0,0.61,5.0,98.5,96.0,2.67
18,Dallas Mavericks,40.0,42.0,0.488,15.0,101.4,102.0,-0.29
19,Denver Nuggets,35.0,47.0,0.427,20.0,99.0,101.1,-1.76
20,Houston Rockets,34.0,48.0,0.415,21.0,99.5,100.3,-0.57
21,Vancouver Grizzlies,22.0,60.0,0.268,33.0,93.9,99.5,-5.1
22,Los Angeles Lakers,67.0,15.0,0.817,—,100.8,92.3,8.41
23,Portland Trail Blazers,59.0,23.0,0.72,8.0,97.5,91.0,6.36
24,Phoenix Suns,53.0,29.0,0.646,14.0,98.9,93.7,5.24
25,Seattle SuperSonics,45.0,37.0,0.549,22.0,99.1,98.1,1.17
26,Sacramento Kings,44.0,38.0,0.537,23.0,105.0,102.0,3.04
27,Golden State Warriors,19.0,63.0,0.232,48.0,95.5,103.8,-7.63
28,Los Angeles Clippers,15.0,67.0,0.183,52.0,92.0,103.5,-10.73
