,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHO,Deandre Ayton,Arizona,2.0,109.0,3419.0,1849.0,1165.0,197.0,0.57,0.176,0.748,31.4,17.0,10.7,1.8,9.0,0.126,0.3,2.0
2,2.0,SAC,Marvin Bagley,Duke,2.0,75.0,1901.0,1108.0,568.0,72.0,0.497,0.288,0.703,25.3,14.8,7.6,1.0,4.0,0.1,-1.4,0.3
3,3.0,ATL,Luka Dončić,,2.0,133.0,4365.0,3285.0,1136.0,967.0,0.445,0.321,0.737,32.8,24.7,8.5,7.3,13.7,0.151,6.0,8.8
4,4.0,MEM,Jaren Jackson,Michigan State,2.0,115.0,3137.0,1788.0,534.0,142.0,0.485,0.384,0.757,27.3,15.5,4.6,1.2,6.8,0.104,0.1,1.7
5,5.0,DAL,Trae Young,Oklahoma,2.0,141.0,4623.0,3327.0,556.0,1213.0,0.428,0.344,0.847,32.8,23.6,3.9,8.6,9.1,0.095,1.5,4.0
6,6.0,ORL,Mohamed Bamba,Texas,2.0,109.0,1644.0,624.0,535.0,81.0,0.471,0.328,0.624,15.1,5.7,4.9,0.7,4.2,0.121,-0.4,0.7
7,7.0,CHI,Wendell Carter,Duke,2.0,87.0,2366.0,939.0,712.0,129.0,0.508,0.197,0.761,27.2,10.8,8.2,1.5,5.2,0.105,-2.0,0.0
8,8.0,CLE,Collin Sexton,Alabama,2.0,147.0,4748.0,2720.0,440.0,435.0,0.45,0.392,0.843,32.3,18.5,3.0,3.0,1.9,0.019,-3.4,-1.7
9,9.0,NYK,Kevin Knox,Kentucky,2.0,140.0,3324.0,1382.0,519.0,143.0,0.367,0.337,0.697,23.7,9.9,3.7,1.0,-1.2,-0.017,-5.2,-2.7
10,10.0,PHI,Mikal Bridges,Villanova,2.0,155.0,4459.0,1351.0,556.0,302.0,0.467,0.345,0.825,28.8,8.7,3.6,1.9,7.7,0.083,-0.5,1.7
11,11.0,CHO,Shai Gilgeous-Alexander,Kentucky,2.0,152.0,4602.0,2220.0,644.0,502.0,0.473,0.354,0.804,30.3,14.6,4.2,3.3,9.5,0.099,0.7,3.1
12,12.0,LAC,Miles Bridges,Michigan State,2.0,145.0,3691.0,1440.0,685.0,209.0,0.44,0.328,0.788,25.5,9.9,4.7,1.4,4.5,0.059,-1.7,0.3
13,13.0,LAC,Jerome Robinson,Boston College,2.0,96.0,1299.0,431.0,170.0,106.0,0.379,0.319,0.697,13.5,4.5,1.8,1.1,0.3,0.01,-4.1,-0.7
14,14.0,DEN,Michael Porter,Missouri,1.0,55.0,903.0,512.0,259.0,46.0,0.509,0.422,0.833,16.4,9.3,4.7,0.8,2.9,0.154,1.5,0.8
15,15.0,WAS,Troy Brown,Oregon,2.0,121.0,2512.0,964.0,528.0,258.0,0.432,0.335,0.758,20.8,8.0,4.4,2.1,3.0,0.058,-1.7,0.2
16,16.0,PHO,Zhaire Smith,Texas Tech,2.0,13.0,143.0,48.0,15.0,12.0,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,0.011,-6.1,-0.2
17,17.0,MIL,Donte DiVincenzo,Villanova,2.0,93.0,1931.0,741.0,383.0,185.0,0.445,0.318,0.735,20.8,8.0,4.1,2.0,4.9,0.121,0.6,1.3
18,18.0,SAS,Lonnie Walker,Miami (FL),2.0,78.0,1106.0,434.0,156.0,77.0,0.417,0.404,0.732,14.2,5.6,2.0,1.0,0.4,0.016,-3.4,-0.4
19,19.0,ATL,Kevin Huerter,Maryland,2.0,131.0,3808.0,1411.0,473.0,427.0,0.416,0.383,0.783,29.1,10.8,3.6,3.3,3.0,0.038,-2.0,0.0
20,20.0,MIN,Josh Okogie,Georgia Tech,2.0,136.0,3304.0,1103.0,486.0,190.0,0.404,0.274,0.765,24.3,8.1,3.6,1.4,3.4,0.05,-2.8,-0.6
21,21.0,UTA,Grayson Allen,Duke,2.0,76.0,1134.0,541.0,108.0,77.0,0.429,0.371,0.8,14.9,7.1,1.4,1.0,1.2,0.053,-3.2,-0.3
