b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Oct 15, 1965",/boxscores/196510150SFW.html,Los Angeles Lakers,122,San Francisco Warriors,115,Box Score,,,
"Fri, Oct 15, 1965",/boxscores/196510150CIN.html,St. Louis Hawks,111,Cincinnati Royals,100,Box Score,,,
"Sat, Oct 16, 1965",/boxscores/196510160BAL.html,Philadelphia 76ers,133,Baltimore Bullets,101,Box Score,,,
"Sat, Oct 16, 1965",/boxscores/196510160BOS.html,Cincinnati Royals,98,Boston Celtics,102,Box Score,,,
"Sat, Oct 16, 1965",/boxscores/196510160NYK.html,Detroit Pistons,103,New York Knicks,111,Box Score,,,
"Sat, Oct 16, 1965",/boxscores/196510160STL.html,Los Angeles Lakers,106,St. Louis Hawks,94,Box Score,,,
"Sun, Oct 17, 1965",/boxscores/196510170CIN.html,Baltimore Bullets,124,Cincinnati Royals,144,Box Score,,,
"Tue, Oct 19, 1965",/boxscores/196510190CIN.html,San Francisco Warriors,100,Cincinnati Royals,99,Box Score,,,
"Wed, Oct 20, 1965",/boxscores/196510200BAL.html,St. Louis Hawks,99,Baltimore Bullets,119,Box Score,,,
"Wed, Oct 20, 1965",/boxscores/196510200BOS.html,Los Angeles Lakers,96,Boston Celtics,100,Box Score,,,
"Wed, Oct 20, 1965",/boxscores/196510200DET.html,New York Knicks,103,Detroit Pistons,116,Box Score,,,
"Sat, Oct 23, 1965",/boxscores/196510230STL.html,Boston Celtics,110,St. Louis Hawks,120,Box Score,,,
"Sat, Oct 23, 1965",/boxscores/196510230PHI.html,Detroit Pistons,103,Philadelphia 76ers,120,Box Score,,,
"Sat, Oct 23, 1965",/boxscores/196510230NYK.html,Los Angeles Lakers,101,New York Knicks,106,Box Score,,,
"Sat, Oct 23, 1965",/boxscores/196510230BAL.html,San Francisco Warriors,123,Baltimore Bullets,108,Box Score,,,
"Tue, Oct 26, 1965",/boxscores/196510260DET.html,Baltimore Bullets,117,Detroit Pistons,98,Box Score,,,
"Tue, Oct 26, 1965",/boxscores/196510260LAL.html,New York Knicks,102,Los Angeles Lakers,104,Box Score,,,
"Wed, Oct 27, 1965",/boxscores/196510270BAL.html,Detroit Pistons,108,Baltimore Bullets,107,Box Score,,,
"Thu, Oct 28, 1965",/boxscores/196510280CIN.html,Boston Celtics,108,Cincinnati Royals,113,Box Score,,,
"Thu, Oct 28, 1965",/boxscores/196510280LAL.html,New York Knicks,116,Los Angeles Lakers,140,Box Score,,,
"Fri, Oct 29, 1965",/boxscores/196510290BAL.html,Cincinnati Royals,131,Baltimore Bullets,121,Box Score,,,
"Fri, Oct 29, 1965",/boxscores/196510290DET.html,Boston Celtics,106,Detroit Pistons,108,Box Score,,,
"Fri, Oct 29, 1965",/boxscores/196510290SFW.html,New York Knicks,100,San Francisco Warriors,110,Box Score,,,
"Sat, Oct 30, 1965",/boxscores/196510300LAL.html,San Francisco Warriors,124,Los Angeles Lakers,122,Box Score,,,
