b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 31, 2000",/boxscores/200010310ATL.html,7:30p,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,"18,465",
"Tue, Oct 31, 2000",/boxscores/200010310NJN.html,7:30p,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,"14,505",
"Tue, Oct 31, 2000",/boxscores/200010310ORL.html,7:30p,Washington Wizards,86,Orlando Magic,97,Box Score,,"13,349",
"Tue, Oct 31, 2000",/boxscores/200010310DAL.html,8:00p,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,"16,600",
"Tue, Oct 31, 2000",/boxscores/200010310NYK.html,8:00p,Philadelphia 76ers,101,New York Knicks,72,Box Score,,"19,763",
"Tue, Oct 31, 2000",/boxscores/200010310TOR.html,8:00p,Detroit Pistons,104,Toronto Raptors,95,Box Score,,"19,800",
"Tue, Oct 31, 2000",/boxscores/200010310CHI.html,8:30p,Sacramento Kings,100,Chicago Bulls,81,Box Score,,"21,814",
"Tue, Oct 31, 2000",/boxscores/200010310HOU.html,8:30p,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,"11,327",
"Tue, Oct 31, 2000",/boxscores/200010310SAS.html,8:30p,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,"17,450",
"Tue, Oct 31, 2000",/boxscores/200010310UTA.html,9:00p,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,"17,824",
"Tue, Oct 31, 2000",/boxscores/200010310GSW.html,10:30p,Phoenix Suns,94,Golden State Warriors,96,Box Score,,"15,460",
"Tue, Oct 31, 2000",/boxscores/200010310POR.html,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,"20,270",
"Tue, Oct 31, 2000",/boxscores/200010310VAN.html,10:30p,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,"15,779",
"Wed, Nov 1, 2000",/boxscores/200011010BOS.html,7:00p,Detroit Pistons,83,Boston Celtics,103,Box Score,,"17,725",
"Wed, Nov 1, 2000",/boxscores/200011010PHI.html,7:00p,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,"19,817",
"Wed, Nov 1, 2000",/boxscores/200011010CHH.html,7:30p,Washington Wizards,95,Charlotte Hornets,77,Box Score,,"16,043",
"Wed, Nov 1, 2000",/boxscores/200011010CLE.html,7:30p,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,"17,695",
"Wed, Nov 1, 2000",/boxscores/200011010MIA.html,8:00p,Orlando Magic,79,Miami Heat,105,Box Score,,"16,500",
"Wed, Nov 1, 2000",/boxscores/200011010SEA.html,10:00p,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,"17,072",
"Wed, Nov 1, 2000",/boxscores/200011010LAL.html,10:30p,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,"18,997",
"Thu, Nov 2, 2000",/boxscores/200011020NYK.html,7:30p,Atlanta Hawks,69,New York Knicks,94,Box Score,,"19,763",
"Thu, Nov 2, 2000",/boxscores/200011020DAL.html,8:00p,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,"11,750",
"Thu, Nov 2, 2000",/boxscores/200011020SAS.html,8:00p,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,"14,193",
"Thu, Nov 2, 2000",/boxscores/200011020HOU.html,8:30p,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,"10,687",
