,Player,Pos,BasePos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jay Arnette,SG,SG,26.0,CIN,63.0,0.0,662.0,91.0,245.0,0.371,0.0,0.0,0.0,91.0,245.0,0.371,0.371,56.0,75.0,0.747,0.0,0.0,62.0,68.0,0.0,0.0,0.0,125.0,238.0
1,Al Attles*,PG,PG,28.0,SFW,73.0,0.0,1733.0,254.0,662.0,0.384,0.0,0.0,0.0,254.0,662.0,0.384,0.384,171.0,274.0,0.624,0.0,0.0,239.0,205.0,0.0,0.0,0.0,242.0,679.0
2,Jim Barnes,PF,PF,23.0,NYK,75.0,0.0,2586.0,454.0,1070.0,0.424,0.0,0.0,0.0,454.0,1070.0,0.424,0.424,251.0,379.0,0.662,0.0,0.0,729.0,93.0,0.0,0.0,0.0,312.0,1159.0
3,Dick Barnett,SG,SG,28.0,LAL,74.0,0.0,2026.0,375.0,908.0,0.413,0.0,0.0,0.0,375.0,908.0,0.413,0.413,270.0,338.0,0.799,0.0,0.0,200.0,159.0,0.0,0.0,0.0,209.0,1020.0
4,John Barnhill,SG,SG,26.0,STL,41.0,0.0,777.0,121.0,312.0,0.388,0.0,0.0,0.0,121.0,312.0,0.388,0.388,45.0,70.0,0.643,0.0,0.0,91.0,76.0,0.0,0.0,0.0,56.0,287.0
5,Elgin Baylor*,SF,SF,30.0,LAL,74.0,0.0,3056.0,763.0,1903.0,0.401,0.0,0.0,0.0,763.0,1903.0,0.401,0.401,483.0,610.0,0.792,0.0,0.0,950.0,280.0,0.0,0.0,0.0,235.0,2009.0
6,Zelmo Beaty*,C,C,25.0,STL,80.0,0.0,2916.0,505.0,1047.0,0.482,0.0,0.0,0.0,505.0,1047.0,0.482,0.482,341.0,477.0,0.715,0.0,0.0,966.0,111.0,0.0,0.0,0.0,328.0,1351.0
7,Walt Bellamy*,C,C,25.0,BAL,80.0,0.0,3301.0,733.0,1441.0,0.509,0.0,0.0,0.0,733.0,1441.0,0.509,0.509,515.0,752.0,0.685,0.0,0.0,1166.0,191.0,0.0,0.0,0.0,260.0,1981.0
8,Al Bianchi,PG,PG,32.0,PHI,60.0,0.0,1116.0,175.0,486.0,0.36,0.0,0.0,0.0,175.0,486.0,0.36,0.36,54.0,76.0,0.711,0.0,0.0,95.0,140.0,0.0,0.0,0.0,178.0,404.0
9,Bucky Bockhorn,SG,SG,31.0,CIN,19.0,0.0,424.0,60.0,157.0,0.382,0.0,0.0,0.0,60.0,157.0,0.382,0.382,28.0,39.0,0.718,0.0,0.0,55.0,45.0,0.0,0.0,0.0,52.0,148.0
10,Ron Bonham,SF,SF,22.0,BOS,37.0,0.0,369.0,91.0,220.0,0.414,0.0,0.0,0.0,91.0,220.0,0.414,0.414,92.0,112.0,0.821,0.0,0.0,78.0,19.0,0.0,0.0,0.0,33.0,274.0
11,Bob Boozer,SF,SF,27.0,NYK,80.0,0.0,2139.0,424.0,963.0,0.44,0.0,0.0,0.0,424.0,963.0,0.44,0.44,288.0,375.0,0.768,0.0,0.0,604.0,108.0,0.0,0.0,0.0,183.0,1136.0
12,Gary Bradds,SF,SF,22.0,BAL,41.0,0.0,335.0,46.0,111.0,0.414,0.0,0.0,0.0,46.0,111.0,0.414,0.414,45.0,63.0,0.714,0.0,0.0,84.0,19.0,0.0,0.0,0.0,36.0,137.0
13,Bill Bridges,PF,PF,25.0,STL,79.0,0.0,2362.0,362.0,938.0,0.386,0.0,0.0,0.0,362.0,938.0,0.386,0.386,186.0,275.0,0.676,0.0,0.0,853.0,187.0,0.0,0.0,0.0,276.0,910.0
14,Em Bryant,PG,PG,26.0,NYK,77.0,0.0,1332.0,145.0,436.0,0.333,0.0,0.0,0.0,145.0,436.0,0.333,0.333,87.0,133.0,0.654,0.0,0.0,167.0,167.0,0.0,0.0,0.0,212.0,377.0
15,Dave Budd,SF,SF,26.0,NYK,62.0,0.0,1188.0,196.0,407.0,0.482,0.0,0.0,0.0,196.0,407.0,0.482,0.482,121.0,170.0,0.712,0.0,0.0,310.0,62.0,0.0,0.0,0.0,147.0,513.0
16,Ed Burton,F,F,25.0,STL,7.0,0.0,42.0,7.0,20.0,0.35,0.0,0.0,0.0,7.0,20.0,0.35,0.35,4.0,7.0,0.571,0.0,0.0,13.0,2.0,0.0,0.0,0.0,13.0,18.0
17,Donnie Butcher,PG,PG,28.0,DET,71.0,0.0,1157.0,143.0,353.0,0.405,0.0,0.0,0.0,143.0,353.0,0.405,0.405,126.0,204.0,0.618,0.0,0.0,200.0,122.0,0.0,0.0,0.0,183.0,412.0
18,Al Butler,PG,PG,26.0,BAL,25.0,0.0,172.0,24.0,73.0,0.329,0.0,0.0,0.0,24.0,73.0,0.329,0.329,11.0,15.0,0.733,0.0,0.0,21.0,12.0,0.0,0.0,0.0,25.0,59.0
19,Joe Caldwell,SF,SF,23.0,DET,66.0,0.0,1543.0,290.0,776.0,0.374,0.0,0.0,0.0,290.0,776.0,0.374,0.374,129.0,210.0,0.614,0.0,0.0,441.0,118.0,0.0,0.0,0.0,171.0,709.0
21,Wilt Chamberlain*,C,C,28.0,TOT,73.0,0.0,3301.0,1063.0,2083.0,0.51,0.0,0.0,0.0,1063.0,2083.0,0.51,0.51,408.0,880.0,0.464,0.0,0.0,1673.0,250.0,0.0,0.0,0.0,146.0,2534.0
22,Wilt Chamberlain*,C,C,28.0,SFW,38.0,0.0,1743.0,636.0,1275.0,0.499,0.0,0.0,0.0,636.0,1275.0,0.499,0.499,208.0,500.0,0.416,0.0,0.0,893.0,117.0,0.0,0.0,0.0,76.0,1480.0
23,Wilt Chamberlain*,C,C,28.0,PHI,35.0,0.0,1558.0,427.0,808.0,0.528,0.0,0.0,0.0,427.0,808.0,0.528,0.528,200.0,380.0,0.526,0.0,0.0,780.0,133.0,0.0,0.0,0.0,70.0,1054.0
24,Len Chappell,C,C,24.0,NYK,43.0,0.0,655.0,145.0,367.0,0.395,0.0,0.0,0.0,145.0,367.0,0.395,0.395,68.0,100.0,0.68,0.0,0.0,140.0,15.0,0.0,0.0,0.0,73.0,358.0
25,Larry Costello,PG,PG,33.0,PHI,64.0,0.0,1967.0,309.0,695.0,0.445,0.0,0.0,0.0,309.0,695.0,0.445,0.445,243.0,277.0,0.877,0.0,0.0,169.0,275.0,0.0,0.0,0.0,242.0,861.0
26,Mel Counts,C,C,23.0,BOS,54.0,0.0,572.0,100.0,272.0,0.368,0.0,0.0,0.0,100.0,272.0,0.368,0.368,58.0,74.0,0.784,0.0,0.0,265.0,19.0,0.0,0.0,0.0,134.0,258.0
27,Steve Courtin,SG,SG,22.0,PHI,24.0,0.0,317.0,42.0,103.0,0.408,0.0,0.0,0.0,42.0,103.0,0.408,0.408,17.0,21.0,0.81,0.0,0.0,22.0,22.0,0.0,0.0,0.0,44.0,101.0
28,Dave DeBusschere*,PF,PF,24.0,DET,79.0,0.0,2769.0,508.0,1196.0,0.425,0.0,0.0,0.0,508.0,1196.0,0.425,0.425,306.0,437.0,0.7,0.0,0.0,874.0,253.0,0.0,0.0,0.0,242.0,1322.0
29,Connie Dierking,C,C,28.0,TOT,68.0,0.0,1294.0,218.0,538.0,0.405,0.0,0.0,0.0,218.0,538.0,0.405,0.405,100.0,168.0,0.595,0.0,0.0,435.0,72.0,0.0,0.0,0.0,165.0,536.0
30,Connie Dierking,C,C,28.0,PHI,38.0,0.0,729.0,121.0,311.0,0.389,0.0,0.0,0.0,121.0,311.0,0.389,0.389,54.0,83.0,0.651,0.0,0.0,239.0,42.0,0.0,0.0,0.0,101.0,296.0
31,Connie Dierking,C,C,28.0,SFW,30.0,0.0,565.0,97.0,227.0,0.427,0.0,0.0,0.0,97.0,227.0,0.427,0.427,46.0,85.0,0.541,0.0,0.0,196.0,30.0,0.0,0.0,0.0,64.0,240.0
32,Terry Dischinger,SG,SG,24.0,DET,80.0,0.0,2698.0,568.0,1153.0,0.493,0.0,0.0,0.0,568.0,1153.0,0.493,0.493,320.0,424.0,0.755,0.0,0.0,479.0,198.0,0.0,0.0,0.0,253.0,1456.0
33,Bob Duffy,PG,PG,24.0,DET,4.0,0.0,26.0,4.0,11.0,0.364,0.0,0.0,0.0,4.0,11.0,0.364,0.364,6.0,7.0,0.857,0.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,14.0
34,Johnny Egan,PG,PG,26.0,NYK,74.0,0.0,1664.0,258.0,529.0,0.488,0.0,0.0,0.0,258.0,529.0,0.488,0.488,162.0,199.0,0.814,0.0,0.0,143.0,252.0,0.0,0.0,0.0,139.0,678.0
35,Leroy Ellis,C,C,24.0,LAL,80.0,0.0,2026.0,311.0,700.0,0.444,0.0,0.0,0.0,311.0,700.0,0.444,0.444,198.0,284.0,0.697,0.0,0.0,652.0,49.0,0.0,0.0,0.0,196.0,820.0
36,Wayne Embry*,C,C,27.0,CIN,74.0,0.0,2243.0,352.0,772.0,0.456,0.0,0.0,0.0,352.0,772.0,0.456,0.456,239.0,371.0,0.644,0.0,0.0,741.0,92.0,0.0,0.0,0.0,297.0,943.0
37,Mike Farmer,SF,SF,28.0,STL,60.0,0.0,1272.0,167.0,408.0,0.409,0.0,0.0,0.0,167.0,408.0,0.409,0.409,75.0,94.0,0.798,0.0,0.0,258.0,88.0,0.0,0.0,0.0,123.0,409.0
38,Bob Ferry,PF,PF,27.0,BAL,77.0,0.0,1280.0,143.0,338.0,0.423,0.0,0.0,0.0,143.0,338.0,0.423,0.423,122.0,199.0,0.613,0.0,0.0,355.0,60.0,0.0,0.0,0.0,156.0,408.0
39,Dave Gambee,SF,SF,27.0,PHI,80.0,0.0,1993.0,356.0,864.0,0.412,0.0,0.0,0.0,356.0,864.0,0.412,0.412,299.0,368.0,0.813,0.0,0.0,468.0,113.0,0.0,0.0,0.0,277.0,1011.0
40,Tom Gola*,SG,SG,32.0,NYK,77.0,0.0,1727.0,204.0,455.0,0.448,0.0,0.0,0.0,204.0,455.0,0.448,0.448,133.0,180.0,0.739,0.0,0.0,319.0,220.0,0.0,0.0,0.0,269.0,541.0
41,Johnny Green,PF,PF,31.0,NYK,78.0,0.0,1720.0,346.0,737.0,0.469,0.0,0.0,0.0,346.0,737.0,0.469,0.469,165.0,301.0,0.548,0.0,0.0,545.0,129.0,0.0,0.0,0.0,194.0,857.0
42,Si Green,PG,PG,31.0,BAL,70.0,0.0,1086.0,152.0,368.0,0.413,0.0,0.0,0.0,152.0,368.0,0.413,0.413,101.0,161.0,0.627,0.0,0.0,169.0,140.0,0.0,0.0,0.0,134.0,405.0
43,Jerry Greenspan,SG,SG,23.0,PHI,5.0,0.0,49.0,8.0,13.0,0.615,0.0,0.0,0.0,8.0,13.0,0.615,0.615,8.0,8.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,24.0
44,Hal Greer*,SG,SG,28.0,PHI,70.0,0.0,2600.0,539.0,1245.0,0.433,0.0,0.0,0.0,539.0,1245.0,0.433,0.433,335.0,413.0,0.811,0.0,0.0,355.0,313.0,0.0,0.0,0.0,254.0,1413.0
46,Jerry Grote,G,G,24.0,LAL,11.0,0.0,33.0,6.0,11.0,0.545,0.0,0.0,0.0,6.0,11.0,0.545,0.545,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,14.0
47,Richie Guerin*,SG,SG,32.0,STL,57.0,0.0,1678.0,295.0,662.0,0.446,0.0,0.0,0.0,295.0,662.0,0.446,0.446,231.0,301.0,0.767,0.0,0.0,149.0,271.0,0.0,0.0,0.0,193.0,821.0
48,Cliff Hagan*,SF,SF,33.0,STL,77.0,0.0,1739.0,393.0,901.0,0.436,0.0,0.0,0.0,393.0,901.0,0.436,0.436,214.0,268.0,0.799,0.0,0.0,276.0,136.0,0.0,0.0,0.0,182.0,1000.0
49,Happy Hairston,PF,PF,22.0,CIN,61.0,0.0,736.0,131.0,351.0,0.373,0.0,0.0,0.0,131.0,351.0,0.373,0.373,110.0,165.0,0.667,0.0,0.0,293.0,27.0,0.0,0.0,0.0,95.0,372.0
50,Reggie Harding,C,C,22.0,DET,78.0,0.0,2699.0,405.0,987.0,0.41,0.0,0.0,0.0,405.0,987.0,0.41,0.41,128.0,209.0,0.612,0.0,0.0,906.0,179.0,0.0,0.0,0.0,258.0,938.0
51,Charlie Hardnett,PF,PF,26.0,BAL,20.0,0.0,200.0,25.0,80.0,0.313,0.0,0.0,0.0,25.0,80.0,0.313,0.313,23.0,39.0,0.59,0.0,0.0,77.0,2.0,0.0,0.0,0.0,37.0,73.0
52,John Havlicek*,SG,SG,24.0,BOS,75.0,0.0,2169.0,570.0,1420.0,0.401,0.0,0.0,0.0,570.0,1420.0,0.401,0.401,235.0,316.0,0.744,0.0,0.0,371.0,199.0,0.0,0.0,0.0,200.0,1375.0
53,Tom Hawkins,SF,SF,28.0,CIN,79.0,0.0,1864.0,220.0,538.0,0.409,0.0,0.0,0.0,220.0,538.0,0.409,0.409,116.0,204.0,0.569,0.0,0.0,475.0,80.0,0.0,0.0,0.0,240.0,556.0
54,Walt Hazzard,SG,SG,22.0,LAL,66.0,0.0,919.0,117.0,306.0,0.382,0.0,0.0,0.0,117.0,306.0,0.382,0.382,46.0,71.0,0.648,0.0,0.0,111.0,140.0,0.0,0.0,0.0,132.0,280.0
55,Tom Heinsohn*,SF,SF,30.0,BOS,67.0,0.0,1706.0,365.0,954.0,0.383,0.0,0.0,0.0,365.0,954.0,0.383,0.383,182.0,229.0,0.795,0.0,0.0,399.0,157.0,0.0,0.0,0.0,252.0,912.0
56,Art Heyman,SG,SG,23.0,NYK,55.0,0.0,663.0,114.0,267.0,0.427,0.0,0.0,0.0,114.0,267.0,0.427,0.427,88.0,132.0,0.667,0.0,0.0,99.0,79.0,0.0,0.0,0.0,96.0,316.0
57,Wayne Hightower,PF,PF,25.0,TOT,75.0,0.0,1547.0,196.0,570.0,0.344,0.0,0.0,0.0,196.0,570.0,0.344,0.344,195.0,254.0,0.768,0.0,0.0,420.0,54.0,0.0,0.0,0.0,204.0,587.0
58,Wayne Hightower,PF,PF,25.0,SFW,48.0,0.0,1037.0,136.0,396.0,0.343,0.0,0.0,0.0,136.0,396.0,0.343,0.343,133.0,173.0,0.769,0.0,0.0,247.0,38.0,0.0,0.0,0.0,143.0,405.0
59,Wayne Hightower,PF,PF,25.0,BAL,27.0,0.0,510.0,60.0,174.0,0.345,0.0,0.0,0.0,60.0,174.0,0.345,0.345,62.0,81.0,0.765,0.0,0.0,173.0,16.0,0.0,0.0,0.0,61.0,182.0
60,Gary Hill,SG,SG,23.0,TOT,12.0,0.0,103.0,10.0,36.0,0.278,0.0,0.0,0.0,10.0,36.0,0.278,0.278,7.0,14.0,0.5,0.0,0.0,16.0,7.0,0.0,0.0,0.0,11.0,27.0
