,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Zaid Abdul-Aziz,C,27.0,HOU,79.0,0.0,2459.0,4.9,10.7,0.459,0.0,0.0,0.0,4.9,10.7,0.459,2.8,3.5,0.804,3.8,9.7,13.5,2.4,1.2,1.5,0.0,3.3,12.7
1,Kareem Abdul-Jabbar*,C,26.0,MIL,81.0,0.0,3548.0,9.6,17.8,0.539,0.0,0.0,0.0,9.6,17.8,0.539,3.0,4.3,0.702,2.9,9.0,12.0,3.9,1.1,2.9,0.0,2.4,22.2
2,Don Adams,SF,26.0,DET,74.0,0.0,2298.0,4.7,11.6,0.408,0.0,0.0,0.0,4.7,11.6,0.408,2.4,3.1,0.761,2.1,4.9,7.0,2.2,1.7,0.2,0.0,3.8,11.9
3,Rick Adelman,PG,27.0,CHI,55.0,0.0,618.0,3.7,9.9,0.376,0.0,0.0,0.0,3.7,9.9,0.376,3.1,4.4,0.711,0.9,3.1,4.0,3.3,2.1,0.1,0.0,3.7,10.6
4,Lucius Allen,PG,26.0,MIL,72.0,0.0,2388.0,7.9,16.0,0.495,0.0,0.0,0.0,7.9,16.0,0.495,3.3,4.1,0.788,1.3,3.0,4.4,5.6,2.1,0.3,0.0,3.2,19.1
5,Tiny Archibald*,PG,25.0,KCO,35.0,0.0,1272.0,6.3,13.9,0.451,0.0,0.0,0.0,6.3,13.9,0.451,4.9,6.0,0.82,0.6,1.8,2.4,7.5,1.6,0.2,0.0,2.2,17.5
6,Dennis Awtrey,C,25.0,CHI,68.0,0.0,756.0,3.1,5.9,0.528,0.0,0.0,0.0,3.1,5.9,0.528,2.6,4.5,0.574,2.3,6.0,8.3,4.1,1.0,0.7,0.0,6.1,8.8
7,Mike Bantom,PF,22.0,PHO,76.0,0.0,1982.0,5.7,14.3,0.399,0.0,0.0,0.0,5.7,14.3,0.399,2.6,3.9,0.662,3.1,6.3,9.4,3.0,0.9,0.9,0.0,5.2,14.0
8,Dick Barnett,SG,37.0,NYK,5.0,0.0,58.0,6.2,16.1,0.385,0.0,0.0,0.0,6.2,16.1,0.385,1.2,1.9,0.667,0.6,1.9,2.5,3.7,0.6,0.0,0.0,1.2,13.7
9,Jim Barnett,SG,29.0,GSW,77.0,0.0,1689.0,7.5,16.1,0.464,0.0,0.0,0.0,7.5,16.1,0.464,3.9,4.8,0.814,1.6,3.1,4.7,4.5,1.2,0.2,0.0,3.1,18.8
10,Rick Barry*,SF,29.0,GSW,80.0,0.0,2918.0,9.8,21.5,0.456,0.0,0.0,0.0,9.8,21.5,0.456,5.1,5.7,0.899,1.3,5.4,6.7,6.0,2.1,0.5,0.0,3.3,24.8
11,Butch Beard,PG,26.0,GSW,79.0,0.0,2134.0,5.3,10.4,0.512,0.0,0.0,0.0,5.3,10.4,0.512,2.9,3.9,0.739,2.3,4.3,6.6,5.1,1.8,0.2,0.0,4.1,13.6
12,Ron Behagen,PF,23.0,KCO,80.0,0.0,2059.0,6.2,14.5,0.432,0.0,0.0,0.0,6.2,14.5,0.432,2.8,3.7,0.764,3.3,6.6,9.9,2.3,1.0,0.6,0.0,5.1,15.3
13,Dennis Bell,SF,22.0,NYK,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Walt Bellamy*,C,34.0,ATL,77.0,0.0,2440.0,5.7,11.8,0.486,0.0,0.0,0.0,5.7,11.8,0.486,3.4,5.7,0.608,3.9,7.0,10.9,2.8,0.8,0.7,0.0,3.4,14.9
15,Henry Bibby,PG,24.0,NYK,66.0,0.0,986.0,7.7,17.0,0.452,0.0,0.0,0.0,7.7,17.0,0.452,2.7,3.2,0.83,1.8,3.1,4.9,3.3,2.4,0.1,0.0,4.5,18.0
16,Dave Bing*,PG,30.0,DET,81.0,0.0,3124.0,6.7,15.4,0.436,0.0,0.0,0.0,6.7,15.4,0.436,4.1,5.0,0.813,1.2,2.0,3.2,6.4,1.3,0.2,0.0,2.5,17.5
17,John Block,PF,29.0,KCO,82.0,0.0,1777.0,5.6,12.8,0.434,0.0,0.0,0.0,5.6,12.8,0.434,3.3,4.2,0.796,2.6,5.3,7.9,1.9,1.4,0.7,0.0,4.6,14.5
18,Tom Boerwinkle,C,28.0,CHI,46.0,0.0,602.0,3.5,7.1,0.487,0.0,0.0,0.0,3.5,7.1,0.487,2.5,3.6,0.7,3.2,9.6,12.7,5.6,1.0,1.1,0.0,4.8,9.4
19,Freddie Boyd,PG,23.0,PHI,75.0,0.0,1818.0,5.7,14.1,0.402,0.0,0.0,0.0,5.7,14.1,0.402,2.8,3.9,0.723,0.3,1.5,1.8,4.9,1.2,0.2,0.0,3.4,14.1
21,Steve Bracey,PG,23.0,ATL,75.0,0.0,1463.0,5.9,12.8,0.463,0.0,0.0,0.0,5.9,12.8,0.463,1.7,2.4,0.719,0.6,3.0,3.6,5.7,1.5,0.1,0.0,3.9,13.6
22,Bill Bradley*,SF,30.0,NYK,82.0,0.0,2813.0,6.4,14.2,0.451,0.0,0.0,0.0,6.4,14.2,0.451,1.9,2.1,0.874,0.8,2.5,3.2,3.1,0.5,0.3,0.0,3.6,14.7
23,Jim Brewer,PF,22.0,CLE,82.0,0.0,1862.0,4.1,10.6,0.383,0.0,0.0,0.0,4.1,10.6,0.383,1.5,2.4,0.65,4.0,6.1,10.1,2.9,0.9,0.7,0.0,3.7,9.7
24,Bill Bridges,PF,34.0,LAL,65.0,0.0,1812.0,4.3,10.2,0.421,0.0,0.0,0.0,4.3,10.2,0.421,2.3,3.3,0.707,3.8,6.1,9.9,2.9,1.2,0.6,0.0,4.4,10.9
25,John Brisker,SF,26.0,SEA,35.0,0.0,717.0,8.9,19.9,0.449,0.0,0.0,0.0,8.9,19.9,0.449,4.1,5.0,0.82,3.0,4.4,7.3,2.8,1.4,0.3,0.0,3.5,22.0
26,Allan Bristow,SF,22.0,PHI,55.0,0.0,643.0,6.0,15.1,0.4,0.0,0.0,0.0,6.0,15.1,0.4,2.4,3.2,0.737,3.8,5.5,9.3,5.2,1.6,0.1,0.0,3.8,14.4
27,Fred Brown,SG,25.0,SEA,82.0,0.0,2501.0,8.3,17.6,0.471,0.0,0.0,0.0,8.3,17.6,0.471,2.8,3.3,0.863,1.6,4.1,5.8,6.0,2.0,0.3,0.0,4.0,19.4
28,John Brown,SF,22.0,ATL,77.0,0.0,1715.0,5.8,13.3,0.438,0.0,0.0,0.0,5.8,13.3,0.438,3.4,4.6,0.751,3.7,5.5,9.3,2.4,0.6,0.3,0.0,5.0,15.1
29,Corky Calhoun,SF,23.0,PHO,77.0,0.0,2207.0,4.4,9.5,0.461,0.0,0.0,0.0,4.4,9.5,0.461,1.6,2.1,0.76,1.9,4.8,6.6,2.2,1.2,0.5,0.0,4.1,10.3
30,Larry Cannon,SG,26.0,PHI,19.0,0.0,335.0,5.3,13.6,0.386,0.0,0.0,0.0,5.3,13.6,0.386,2.0,3.0,0.679,1.7,2.1,3.9,5.6,0.8,0.4,0.0,5.2,12.6
31,Austin Carr,SG,25.0,CLE,81.0,0.0,3100.0,8.7,19.5,0.445,0.0,0.0,0.0,8.7,19.5,0.445,3.2,3.8,0.856,1.6,1.7,3.4,3.5,1.1,0.2,0.0,2.2,20.6
32,Fred Carter,SG,28.0,PHI,78.0,0.0,3044.0,8.3,19.4,0.43,0.0,0.0,0.0,8.3,19.4,0.43,3.0,4.2,0.709,1.0,3.4,4.4,5.2,1.3,0.3,0.0,3.3,19.7
33,Bill Chamberlain,SF,24.0,PHO,28.0,0.0,367.0,5.6,12.8,0.438,0.0,0.0,0.0,5.6,12.8,0.438,3.8,5.5,0.696,3.2,4.6,7.8,3.6,2.0,1.2,0.0,7.3,15.0
34,Don Chaney,SG,27.0,BOS,81.0,0.0,2258.0,5.5,12.0,0.464,0.0,0.0,0.0,5.5,12.0,0.464,2.4,2.9,0.828,3.3,2.7,6.0,2.8,1.3,1.0,0.0,3.9,13.5
35,Ken Charles,SG,22.0,BUF,59.0,0.0,693.0,4.6,9.6,0.476,0.0,0.0,0.0,4.6,9.6,0.476,2.8,4.1,0.671,1.3,2.1,3.4,2.8,1.6,0.5,0.0,4.7,11.9
36,Phil Chenier,SG,23.0,CAP,76.0,0.0,2942.0,8.5,19.7,0.434,0.0,0.0,0.0,8.5,19.7,0.434,3.4,4.1,0.82,1.4,3.4,4.7,2.9,1.9,0.8,0.0,1.7,20.4
37,Bob Christian,C,27.0,PHO,81.0,0.0,1244.0,4.1,8.3,0.486,0.0,0.0,0.0,4.1,8.3,0.486,3.1,4.4,0.702,2.5,7.4,9.8,2.8,0.5,0.9,0.0,5.5,11.2
38,Archie Clark,PG,32.0,CAP,56.0,0.0,1786.0,6.3,13.6,0.467,0.0,0.0,0.0,6.3,13.6,0.467,2.1,2.6,0.786,0.9,2.0,2.8,5.7,1.2,0.1,0.0,2.5,14.8
39,Jim Cleamons,PG,24.0,CLE,81.0,0.0,1642.0,5.2,11.9,0.433,0.0,0.0,0.0,5.2,11.9,0.433,2.0,2.9,0.699,1.4,3.7,5.0,5.0,1.3,0.4,0.0,3.3,12.4
40,Barry Clemens,SF,30.0,CLE,71.0,0.0,913.0,6.4,13.6,0.471,0.0,0.0,0.0,6.4,13.6,0.471,2.4,2.9,0.849,1.7,4.9,6.5,3.2,1.4,0.1,0.0,5.4,15.3
42,E.C. Coleman,PF,23.0,HOU,58.0,0.0,1075.0,4.3,8.4,0.512,0.0,0.0,0.0,4.3,8.4,0.512,1.6,2.5,0.635,2.7,5.7,8.4,2.5,1.2,0.7,0.0,5.4,10.1
43,Doug Collins,SG,22.0,PHI,25.0,0.0,436.0,5.9,16.0,0.371,0.0,0.0,0.0,5.9,16.0,0.371,4.5,5.9,0.764,0.6,3.2,3.8,3.3,1.1,0.2,0.0,5.4,16.4
44,Mel Counts,C,32.0,LAL,45.0,0.0,499.0,4.4,12.0,0.365,0.0,0.0,0.0,4.4,12.0,0.365,1.7,2.4,0.727,4.0,6.5,10.5,3.9,1.4,1.7,0.0,6.1,10.5
45,Dave Cowens*,C,25.0,BOS,80.0,0.0,3352.0,6.9,15.8,0.437,0.0,0.0,0.0,6.9,15.8,0.437,2.4,2.9,0.832,2.8,10.7,13.5,3.8,1.0,1.1,0.0,3.2,16.3
46,Dick Cunningham,C,27.0,MIL,8.0,0.0,45.0,2.4,4.8,0.5,0.0,0.0,0.0,2.4,4.8,0.5,0.0,5.6,0.0,0.8,12.0,12.8,0.0,1.6,1.6,0.0,4.0,4.8
47,Mike D'Antoni,SG,22.0,KCO,52.0,0.0,989.0,3.9,9.7,0.402,0.0,0.0,0.0,3.9,9.7,0.402,1.2,1.7,0.702,0.9,2.5,3.4,4.5,2.7,0.5,0.0,4.1,9.0
48,Bob Dandridge,SF,26.0,MIL,71.0,0.0,2521.0,8.3,16.5,0.503,0.0,0.0,0.0,8.3,16.5,0.503,2.5,3.1,0.818,1.7,5.2,6.8,2.9,1.6,0.6,0.0,3.9,19.1
49,Charlie Davis,SG,24.0,POR,8.0,0.0,90.0,5.6,16.0,0.35,0.0,0.0,0.0,5.6,16.0,0.35,1.2,1.6,0.75,0.8,3.6,4.4,4.4,0.8,0.0,0.0,2.8,12.4
