,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Tariq Abdul-Wahad,SG,28.0,DAL,14.0,204.0,12.4,0.47,0.017,0.103,7.6,14.0,10.8,15.4,1.5,1.1,10.3,15.0,0.0,0.2,0.2,0.4,0.104,-1.6,0.2,-1.4,0.0
1,Shareef Abdur-Rahim,PF,26.0,ATL,81.0,3087.0,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,0.0,7.4,2.3,9.7,0.151,2.3,-0.7,1.6,2.8
2,Courtney Alexander,PG,25.0,NOH,66.0,1360.0,9.3,0.459,0.113,0.289,3.3,6.8,5.0,9.8,1.2,0.3,10.7,21.3,0.0,0.1,1.0,1.1,0.04,-3.3,-1.2,-4.5,-0.9
3,Malik Allen,PF,24.0,MIA,80.0,2318.0,9.9,0.455,0.005,0.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,0.0,-1.7,2.6,0.9,0.018,-3.9,-0.4,-4.4,-1.4
4,Ray Allen*,SG,27.0,TOT,76.0,2880.0,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,0.0,7.6,1.5,9.1,0.152,4.7,-1.0,3.6,4.1
5,Ray Allen*,SG,27.0,MIL,47.0,1683.0,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,0.0,3.8,0.5,4.3,0.123,3.4,-1.9,1.6,1.5
6,Ray Allen*,SG,27.0,SEA,29.0,1197.0,23.3,0.567,0.396,0.268,4.7,11.4,8.0,27.3,2.1,0.2,11.5,27.7,0.0,3.8,1.0,4.8,0.193,6.4,0.2,6.6,2.6
7,Rafer Alston,PG,26.0,TOR,47.0,980.0,14.4,0.51,0.388,0.161,2.3,10.4,6.2,34.0,2.1,1.1,19.3,20.7,0.0,0.7,0.5,1.2,0.059,0.2,-1.0,-0.8,0.3
8,John Amaechi,C,32.0,UTA,50.0,474.0,3.1,0.351,0.0,0.441,6.9,12.5,9.8,6.8,1.6,1.1,19.4,17.0,0.0,-1.1,0.4,-0.7,-0.07,-6.4,-1.6,-8.0,-0.7
9,Chris Andersen,C,24.0,DEN,59.0,907.0,14.0,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,0.0,-0.5,1.7,1.1,0.059,-2.4,0.4,-2.0,0.0
10,Derek Anderson,PG,28.0,POR,76.0,2556.0,16.9,0.556,0.398,0.323,2.5,10.0,6.2,20.7,1.9,0.5,11.9,19.5,0.0,5.9,2.2,8.1,0.153,2.2,0.1,2.3,2.8
11,Kenny Anderson,PG,32.0,TOT,61.0,1135.0,13.6,0.457,0.018,0.149,3.2,10.6,6.8,29.8,2.8,0.3,15.6,19.7,0.0,0.4,1.3,1.6,0.069,-1.9,0.9,-1.0,0.3
12,Kenny Anderson,PG,32.0,SEA,38.0,689.0,15.9,0.471,0.022,0.151,2.9,12.1,7.4,30.3,3.2,0.1,11.8,19.1,0.0,0.7,0.8,1.5,0.107,-1.0,1.5,0.5,0.4
