,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHI,Ben Simmons,LSU,3.0,214.0,7362.0,3518.0,1779.0,1713.0,0.561,0.087,0.594,34.4,16.4,8.3,8.0,24.5,0.16,4.0,11.1
2,2.0,LAL,Brandon Ingram,Duke,4.0,244.0,7862.0,3970.0,1230.0,781.0,0.462,0.359,0.72,32.2,16.3,5.0,3.2,9.4,0.058,-1.4,1.2
3,3.0,BOS,Jaylen Brown,California,4.0,272.0,7108.0,3518.0,1197.0,387.0,0.47,0.37,0.68,26.1,12.9,4.4,1.4,13.5,0.091,-1.2,1.5
4,4.0,PHO,Dragan Bender,,4.0,185.0,3716.0,981.0,710.0,233.0,0.393,0.32,0.64,20.1,5.3,3.8,1.3,0.2,0.003,-4.1,-2.0
5,5.0,MIN,Kris Dunn,Providence,4.0,227.0,5516.0,1884.0,760.0,948.0,0.422,0.306,0.726,24.3,8.3,3.3,4.2,3.9,0.034,-1.8,0.2
6,6.0,NOP,Buddy Hield,Oklahoma,4.0,306.0,8522.0,4875.0,1286.0,674.0,0.442,0.41,0.869,27.8,15.9,4.2,2.2,13.0,0.073,0.7,5.9
7,7.0,DEN,Jamal Murray,Kentucky,4.0,290.0,8473.0,4500.0,1029.0,1055.0,0.438,0.358,0.882,29.2,15.5,3.5,3.6,15.9,0.09,-0.1,4.1
8,8.0,SAC,Marquese Chriss,Washington,4.0,254.0,4905.0,2016.0,1230.0,269.0,0.454,0.29,0.665,19.3,7.9,4.8,1.1,5.4,0.053,-2.4,-0.5
9,9.0,TOR,Jakob Pöltl,Utah,4.0,271.0,4388.0,1461.0,1278.0,264.0,0.638,0.5,0.543,16.2,5.4,4.7,1.0,15.7,0.171,1.0,3.3
10,10.0,MIL,Thon Maker,,4.0,252.0,3494.0,1170.0,701.0,154.0,0.435,0.327,0.675,13.9,4.6,2.8,0.6,6.3,0.086,-2.2,-0.2
11,11.0,ORL,Domantas Sabonis,Gonzaga,4.0,288.0,7320.0,3458.0,2283.0,738.0,0.52,0.319,0.723,25.4,12.0,7.9,2.6,20.1,0.132,0.4,4.4
12,12.0,UTA,Taurean Waller-Prince,Baylor,4.0,257.0,6768.0,2981.0,1106.0,500.0,0.414,0.37,0.814,26.3,11.6,4.3,1.9,5.4,0.038,-1.8,0.3
13,13.0,PHO,Georgios Papagiannis,,2.0,39.0,477.0,160.0,123.0,29.0,0.514,0.0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14.0,CHI,Denzel Valentine,Michigan State,3.0,167.0,3486.0,1283.0,610.0,343.0,0.401,0.37,0.76,20.9,7.7,3.7,2.1,3.5,0.049,-1.5,0.4
15,15.0,DEN,Juan Hernangómez,,4.0,202.0,3223.0,1054.0,677.0,134.0,0.429,0.361,0.724,16.0,5.2,3.4,0.7,6.0,0.089,-1.5,0.4
16,16.0,BOS,Guerschon Yabusele,,2.0,74.0,486.0,173.0,105.0,31.0,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0.0
17,17.0,MEM,Wade Baldwin,Vanderbilt,3.0,56.0,579.0,174.0,69.0,78.0,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
