b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 10, 1972",/boxscores/197210100CHI.html,Philadelphia 76ers,89,Chicago Bulls,95,Box Score,,,
"Tue, Oct 10, 1972",/boxscores/197210100BUF.html,Atlanta Hawks,120,Buffalo Braves,109,Box Score,,,
"Tue, Oct 10, 1972",/boxscores/197210100NYK.html,Seattle SuperSonics,89,New York Knicks,113,Box Score,,,
"Tue, Oct 10, 1972",/boxscores/197210100CLE.html,Baltimore Bullets,102,Cleveland Cavaliers,90,Box Score,,,
"Wed, Oct 11, 1972",/boxscores/197210110DET.html,Boston Celtics,121,Detroit Pistons,108,Box Score,,,
"Wed, Oct 11, 1972",/boxscores/197210110PHI.html,Seattle SuperSonics,105,Philadelphia 76ers,100,Box Score,,,
"Wed, Oct 11, 1972",/boxscores/197210110KCO.html,Los Angeles Lakers,129,Kansas City-Omaha Kings,94,Box Score,,,"at Omaha, NE"
"Fri, Oct 13, 1972",/boxscores/197210130BAL.html,Atlanta Hawks,98,Baltimore Bullets,115,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130BOS.html,Los Angeles Lakers,104,Boston Celtics,112,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130CLE.html,Houston Rockets,109,Cleveland Cavaliers,108,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130DET.html,Chicago Bulls,91,Detroit Pistons,100,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130PHI.html,Buffalo Braves,104,Philadelphia 76ers,101,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130PHO.html,Milwaukee Bucks,117,Phoenix Suns,105,Box Score,,,
"Fri, Oct 13, 1972",/boxscores/197210130POR.html,Seattle SuperSonics,92,Portland Trail Blazers,84,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140BUF.html,Houston Rockets,121,Buffalo Braves,113,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140CHI.html,Boston Celtics,96,Chicago Bulls,88,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140GSW.html,Milwaukee Bucks,81,Golden State Warriors,77,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140KCO.html,Detroit Pistons,101,Kansas City-Omaha Kings,113,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140NYK.html,Los Angeles Lakers,100,New York Knicks,125,Box Score,,,
"Sat, Oct 14, 1972",/boxscores/197210140POR.html,Phoenix Suns,124,Portland Trail Blazers,120,Box Score,,,
"Sun, Oct 15, 1972",/boxscores/197210150PHO.html,Baltimore Bullets,98,Phoenix Suns,107,Box Score,,,
"Sun, Oct 15, 1972",/boxscores/197210150CLE.html,Los Angeles Lakers,95,Cleveland Cavaliers,83,Box Score,,,
"Sun, Oct 15, 1972",/boxscores/197210150ATL.html,New York Knicks,101,Atlanta Hawks,109,Box Score,,,
"Mon, Oct 16, 1972",/boxscores/197210160GSW.html,Baltimore Bullets,96,Golden State Warriors,97,Box Score,,,
"Tue, Oct 17, 1972",/boxscores/197210170ATL.html,Boston Celtics,119,Atlanta Hawks,115,Box Score,,,
"Tue, Oct 17, 1972",/boxscores/197210170BUF.html,Philadelphia 76ers,114,Buffalo Braves,122,Box Score,,,
"Tue, Oct 17, 1972",/boxscores/197210170NYK.html,Houston Rockets,95,New York Knicks,103,Box Score,,,
"Tue, Oct 17, 1972",/boxscores/197210170POR.html,Milwaukee Bucks,108,Portland Trail Blazers,111,Box Score,,,
"Thu, Oct 19, 1972",/boxscores/197210190KCO.html,Baltimore Bullets,94,Kansas City-Omaha Kings,83,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200CLE.html,New York Knicks,92,Cleveland Cavaliers,89,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200SEA.html,Golden State Warriors,101,Seattle SuperSonics,92,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200MIL.html,Detroit Pistons,86,Milwaukee Bucks,109,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200LAL.html,Portland Trail Blazers,104,Los Angeles Lakers,126,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200HOU.html,Atlanta Hawks,108,Houston Rockets,120,Box Score,,,
"Fri, Oct 20, 1972",/boxscores/197210200BOS.html,Buffalo Braves,118,Boston Celtics,126,Box Score,,,
"Sat, Oct 21, 1972",/boxscores/197210210POR.html,Golden State Warriors,104,Portland Trail Blazers,97,Box Score,,,
"Sat, Oct 21, 1972",/boxscores/197210210PHO.html,Seattle SuperSonics,117,Phoenix Suns,129,Box Score,,,
"Sat, Oct 21, 1972",/boxscores/197210210NYK.html,Philadelphia 76ers,88,New York Knicks,111,Box Score,,,
