b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 30, 2007",/boxscores/200710300SAS.html,8:00p,Portland Trail Blazers,97,San Antonio Spurs,106,Box Score,,"18,797",
"Tue, Oct 30, 2007",/boxscores/200710300GSW.html,10:30p,Utah Jazz,117,Golden State Warriors,96,Box Score,,"19,832",
"Tue, Oct 30, 2007",/boxscores/200710300LAL.html,10:30p,Houston Rockets,95,Los Angeles Lakers,93,Box Score,,"18,997",
"Wed, Oct 31, 2007",/boxscores/200710310IND.html,7:00p,Washington Wizards,110,Indiana Pacers,119,Box Score,OT,"16,212",
"Wed, Oct 31, 2007",/boxscores/200710310ORL.html,7:00p,Milwaukee Bucks,83,Orlando Magic,102,Box Score,,"17,519",
"Wed, Oct 31, 2007",/boxscores/200710310TOR.html,7:00p,Philadelphia 76ers,97,Toronto Raptors,106,Box Score,,"19,800",
"Wed, Oct 31, 2007",/boxscores/200710310NJN.html,7:30p,Chicago Bulls,103,New Jersey Nets,112,Box Score,OT,"17,342",
"Wed, Oct 31, 2007",/boxscores/200710310CLE.html,8:00p,Dallas Mavericks,92,Cleveland Cavaliers,74,Box Score,,"20,562",
"Wed, Oct 31, 2007",/boxscores/200710310MEM.html,8:00p,San Antonio Spurs,104,Memphis Grizzlies,101,Box Score,,"17,538",
"Wed, Oct 31, 2007",/boxscores/200710310NOH.html,8:00p,Sacramento Kings,90,New Orleans Hornets,104,Box Score,,"15,188",
"Wed, Oct 31, 2007",/boxscores/200710310DEN.html,10:30p,Seattle SuperSonics,103,Denver Nuggets,120,Box Score,,"19,380",
"Thu, Nov 1, 2007",/boxscores/200711010MIA.html,8:00p,Detroit Pistons,91,Miami Heat,80,Box Score,,"19,600",
"Thu, Nov 1, 2007",/boxscores/200711010UTA.html,9:00p,Houston Rockets,106,Utah Jazz,95,Box Score,,"19,911",
"Thu, Nov 1, 2007",/boxscores/200711010SEA.html,10:30p,Phoenix Suns,106,Seattle SuperSonics,99,Box Score,,"17,072",
"Fri, Nov 2, 2007",/boxscores/200711020CHA.html,7:00p,Milwaukee Bucks,99,Charlotte Bobcats,102,Box Score,,"16,368",
"Fri, Nov 2, 2007",/boxscores/200711020IND.html,7:00p,Miami Heat,85,Indiana Pacers,87,Box Score,,"12,887",
"Fri, Nov 2, 2007",/boxscores/200711020ORL.html,7:00p,Detroit Pistons,116,Orlando Magic,92,Box Score,,"17,519",
"Fri, Nov 2, 2007",/boxscores/200711020ATL.html,7:30p,Dallas Mavericks,94,Atlanta Hawks,101,Box Score,,"19,767",
"Fri, Nov 2, 2007",/boxscores/200711020CLE.html,7:30p,New York Knicks,106,Cleveland Cavaliers,110,Box Score,,"20,562",
"Fri, Nov 2, 2007",/boxscores/200711020NJN.html,7:30p,Toronto Raptors,106,New Jersey Nets,69,Box Score,,"14,980",
"Fri, Nov 2, 2007",/boxscores/200711020BOS.html,8:00p,Washington Wizards,83,Boston Celtics,103,Box Score,,"18,624",
"Fri, Nov 2, 2007",/boxscores/200711020MIN.html,8:00p,Denver Nuggets,99,Minnesota Timberwolves,91,Box Score,,"19,443",
"Fri, Nov 2, 2007",/boxscores/200711020NOH.html,8:00p,Portland Trail Blazers,93,New Orleans Hornets,113,Box Score,,"9,817",
"Fri, Nov 2, 2007",/boxscores/200711020CHI.html,8:30p,Philadelphia 76ers,96,Chicago Bulls,85,Box Score,,"22,034",
"Fri, Nov 2, 2007",/boxscores/200711020SAS.html,8:30p,Sacramento Kings,80,San Antonio Spurs,96,Box Score,,"17,072",
"Fri, Nov 2, 2007",/boxscores/200711020LAC.html,10:30p,Golden State Warriors,114,Los Angeles Clippers,120,Box Score,,"19,060",
