,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,39.0,27.0,0.591,—,91.8,89.3,2.26
1,New York Knicks,36.0,30.0,0.545,3.0,97.8,94.7,2.39
2,Philadelphia 76ers,35.0,31.0,0.53,4.0,93.6,89.4,3.59
3,Toronto Raptors,23.0,43.0,0.348,16.0,90.7,94.0,-3.67
4,New Jersey Nets,22.0,44.0,0.333,17.0,93.1,99.1,-6.37
5,Chicago Bulls,50.0,16.0,0.758,—,96.3,88.2,7.43
6,Indiana Pacers,42.0,24.0,0.636,8.0,97.7,94.4,2.6
7,Milwaukee Bucks,31.0,35.0,0.47,19.0,99.0,98.7,-0.23
8,Detroit Pistons,25.0,41.0,0.379,25.0,90.9,95.7,-5.19
9,Cleveland Cavaliers,21.0,45.0,0.318,29.0,93.0,100.2,-7.34
10,Miami Heat,46.0,20.0,0.697,—,98.5,92.5,5.72
11,Atlanta Hawks,40.0,26.0,0.606,6.0,96.6,93.2,2.67
12,Orlando Magic,37.0,29.0,0.561,9.0,94.2,93.4,0.46
13,Washington Wizards,20.0,46.0,0.303,26.0,93.6,98.4,-5.14
14,Charlotte Bobcats,7.0,59.0,0.106,39.0,87.0,100.9,-13.96
15,Oklahoma City Thunder,47.0,19.0,0.712,—,103.1,96.9,6.44
16,Denver Nuggets,38.0,28.0,0.576,9.0,104.1,101.2,3.16
17,Utah Jazz,36.0,30.0,0.545,11.0,99.7,99.0,0.92
18,Portland Trail Blazers,28.0,38.0,0.424,19.0,97.2,97.8,-0.22
19,Minnesota Timberwolves,26.0,40.0,0.394,21.0,97.9,100.1,-1.83
20,Los Angeles Lakers,41.0,25.0,0.621,—,97.3,95.9,1.96
21,Los Angeles Clippers,40.0,26.0,0.606,1.0,97.5,95.0,2.82
22,Phoenix Suns,33.0,33.0,0.5,8.0,98.4,98.6,0.29
23,Golden State Warriors,23.0,43.0,0.348,18.0,97.8,101.2,-2.79
24,Sacramento Kings,22.0,44.0,0.333,19.0,98.8,104.4,-4.95
25,San Antonio Spurs,50.0,16.0,0.758,—,103.7,96.5,7.28
26,Memphis Grizzlies,41.0,25.0,0.621,9.0,95.0,93.0,2.43
27,Dallas Mavericks,36.0,30.0,0.545,14.0,95.8,94.8,1.78
28,Houston Rockets,34.0,32.0,0.515,16.0,98.1,97.9,0.57
29,New Orleans Hornets,21.0,45.0,0.318,29.0,89.6,93.4,-3.11
